no_show_id,booking_id,fee_charged,recorded_at,created_at
51,51,948.83,2025-05-02 00:49:57.431770+00:00,2024-05-10 21:27:26.853592+00:00
52,52,879.4,2025-07-03 19:32:46.115988+00:00,2025-08-16 08:32:34.716043+00:00
53,53,706.26,2025-12-22 11:58:08.483631+00:00,2025-07-01 16:40:01.965669+00:00
54,54,1248.04,2025-11-13 15:22:57.417681+00:00,2025-09-12 19:50:05.626540+00:00
55,55,1035.11,2025-04-16 21:13:41.273247+00:00,2024-05-22 17:37:45.610545+00:00
56,56,1894.97,2025-12-12 10:56:44.276849+00:00,2024-09-25 11:34:02.110287+00:00
57,57,65.24,2024-10-09 04:46:06.889183+00:00,2024-08-17 19:32:36.489266+00:00
58,58,1685.53,2025-04-24 05:14:50.574714+00:00,2025-01-12 19:03:57.473788+00:00
59,59,204.21,2024-11-08 06:01:55.869849+00:00,2024-07-07 19:34:08.709543+00:00
60,60,890.88,2025-04-17 09:33:16.246112+00:00,2024-11-26 19:19:33.048118+00:00
61,61,641.4,2024-11-18 15:02:51.976767+00:00,2025-11-28 02:41:48.699347+00:00
62,62,185.57,2025-11-22 14:14:14.353171+00:00,2024-02-08 08:03:49.560778+00:00
63,63,1046.36,2024-03-26 10:46:16.967509+00:00,2025-02-27 14:54:41.948882+00:00
64,64,830.11,2025-11-09 17:58:57.740495+00:00,2024-04-04 21:50:10.033386+00:00
65,65,1398.67,2025-09-03 15:47:03.491615+00:00,2025-01-22 12:25:23.604443+00:00
66,66,645.83,2024-08-10 07:48:38.854546+00:00,2025-06-11 17:45:44.753736+00:00
67,67,251.52,2024-11-08 19:57:16.087689+00:00,2025-10-19 18:27:36.661553+00:00
68,68,576.51,2024-05-21 09:14:50.184657+00:00,2024-03-25 02:40:48.719677+00:00
69,69,1901.3,2024-07-28 18:55:55.879086+00:00,2025-05-06 05:38:43.011249+00:00
70,70,1596.55,2025-09-15 19:08:56.550573+00:00,2024-11-26 08:42:52.666828+00:00
71,71,1228.26,2024-04-24 13:25:47.533597+00:00,2024-03-07 22:13:19.716871+00:00
72,72,746.72,2024-11-06 07:18:52.886852+00:00,2024-08-06 12:59:36.559432+00:00
73,73,625.63,2025-08-26 01:21:52.490244+00:00,2024-02-17 08:22:32.089562+00:00
74,74,1658.72,2025-11-02 11:05:55.987148+00:00,2024-04-19 10:54:40.483950+00:00
75,75,797.73,2025-03-12 18:28:23.388638+00:00,2024-02-10 00:08:44.769975+00:00
76,76,155.48,2024-03-11 08:59:54.033243+00:00,2024-04-27 22:10:54.925751+00:00
77,77,665.03,2025-10-07 13:16:35.474725+00:00,2024-09-17 05:50:51.031366+00:00
78,78,125.8,2024-12-22 23:34:45.800491+00:00,2024-07-15 02:12:40.013372+00:00
79,79,187.68,2025-11-27 08:06:44.431774+00:00,2025-07-29 04:48:02.825487+00:00
80,80,1805.7,2025-09-10 22:22:06.981108+00:00,2024-05-13 21:55:43.908113+00:00
81,81,130.01,2024-02-22 06:18:15.661478+00:00,2024-07-11 13:48:25.554141+00:00
82,82,167.33,2024-07-26 08:28:55.903879+00:00,2024-11-12 01:23:52.981417+00:00
83,83,1546.57,2025-08-23 05:12:53.777741+00:00,2026-01-06 14:03:53.299086+00:00
84,84,780.11,2024-03-09 10:41:13.302648+00:00,2025-06-01 13:13:21.220625+00:00
85,85,987.51,2026-01-17 00:15:28.133563+00:00,2025-12-28 19:57:02.662952+00:00
86,86,1696.99,2025-03-07 19:58:32.396423+00:00,2025-08-17 11:50:44.678891+00:00
87,87,1649.99,2025-10-06 14:32:21.093782+00:00,2024-07-13 23:40:51.680670+00:00
88,88,618.07,2024-03-18 10:45:03.843956+00:00,2024-08-14 03:53:15.698321+00:00
89,89,978.84,2024-02-19 08:08:25.945776+00:00,2025-04-18 02:44:39.759488+00:00
90,90,50.29,2024-02-22 01:57:56.215612+00:00,2025-08-04 11:13:39.139398+00:00
91,91,1708.37,2024-09-27 13:04:57.082091+00:00,2024-04-19 05:54:47.813564+00:00
92,92,967.73,2024-07-31 08:40:55.509494+00:00,2024-04-17 15:55:46.832340+00:00
93,93,635.68,2025-09-07 20:38:31.231807+00:00,2024-08-30 15:33:14.533966+00:00
94,94,919.49,2024-09-04 21:49:21.494726+00:00,2024-11-09 08:48:15.511150+00:00
95,95,1790.43,2025-06-01 08:17:22.431615+00:00,2024-12-10 10:42:09.765676+00:00
96,96,1981.55,2024-11-28 14:08:39.059136+00:00,2025-12-31 07:18:38.615006+00:00
97,97,557.84,2025-07-05 15:11:04.182306+00:00,2025-08-05 21:00:12.781090+00:00
98,98,754.0,2025-01-18 20:59:40.675988+00:00,2025-01-01 09:44:15.809009+00:00
99,99,725.38,2025-04-04 06:32:28.483106+00:00,2025-05-28 16:39:34.466173+00:00
100,100,761.35,2025-02-26 10:31:39.382982+00:00,2024-08-09 15:56:50.007423+00:00
101,101,824.89,2025-04-29 14:54:18.550380+00:00,2025-02-13 06:46:38.440270+00:00
102,102,1515.25,2024-09-27 13:39:01.349256+00:00,2024-10-10 23:49:13.131818+00:00
103,103,1734.58,2024-09-06 00:33:11.010460+00:00,2024-07-04 06:26:48.041949+00:00
104,104,1071.33,2024-07-18 11:22:08.433541+00:00,2026-01-08 20:05:03.407134+00:00
105,105,1910.62,2024-04-13 01:20:01.213389+00:00,2024-04-16 00:40:54.129102+00:00
106,106,1024.52,2025-06-24 01:51:33.441547+00:00,2026-01-02 01:53:08.679287+00:00
107,107,1320.2,2025-03-20 03:31:50.651759+00:00,2024-03-27 00:12:38.104006+00:00
108,108,1836.49,2025-07-22 05:49:14.263678+00:00,2025-07-17 20:40:20.733355+00:00
109,109,1895.41,2025-07-05 08:57:14.198152+00:00,2024-10-29 12:51:32.976806+00:00
110,110,1868.59,2025-11-17 06:50:49.254904+00:00,2025-07-26 02:12:02.733278+00:00
111,111,326.66,2024-08-20 19:45:17.436929+00:00,2025-10-02 13:29:07.074700+00:00
112,112,1663.97,2024-02-06 10:12:25.429036+00:00,2025-07-04 08:30:16.877544+00:00
113,113,869.0,2025-09-26 06:42:38.657672+00:00,2024-07-06 23:07:14.523451+00:00
114,114,1888.53,2024-06-07 18:19:41.907284+00:00,2024-06-11 21:21:39.503631+00:00
115,115,1254.85,2024-08-28 00:05:10.020115+00:00,2024-05-31 15:09:30.000861+00:00
116,116,587.01,2024-03-04 10:15:16.786387+00:00,2024-05-20 23:03:20.644118+00:00
117,117,524.27,2025-07-16 01:09:47.947817+00:00,2025-11-16 22:31:00.826716+00:00
118,118,944.14,2025-04-02 05:46:38.983624+00:00,2024-10-12 03:33:08.981426+00:00
119,119,809.02,2025-09-11 11:37:48.123840+00:00,2025-11-15 07:32:59.277680+00:00
120,120,675.93,2025-01-05 15:40:46.086071+00:00,2024-10-07 10:38:20.709122+00:00
121,121,59.48,2024-10-05 15:38:03.647043+00:00,2025-04-19 19:27:44.477656+00:00
122,122,1096.74,2024-06-04 22:16:47.419420+00:00,2024-09-03 07:10:54.899489+00:00
123,123,734.39,2025-02-10 12:02:17.410781+00:00,2024-04-14 13:37:42.948020+00:00
124,124,1970.41,2025-09-20 15:17:19.057404+00:00,2024-06-30 14:37:02.809034+00:00
125,125,808.21,2024-10-17 11:26:22.519892+00:00,2025-10-23 08:09:03.968461+00:00
126,126,40.09,2025-09-01 11:12:08.081785+00:00,2025-09-10 21:47:31.769488+00:00
127,127,290.13,2025-09-04 17:15:37.609523+00:00,2024-05-05 08:25:01.244502+00:00
128,128,596.36,2024-10-13 10:10:30.771514+00:00,2025-12-20 19:17:42.771747+00:00
129,129,460.75,2026-01-19 03:30:56.221837+00:00,2025-02-07 04:38:23.904168+00:00
130,130,234.97,2024-08-01 12:47:54.676291+00:00,2025-07-28 07:40:42.222152+00:00
131,131,908.45,2025-12-21 19:32:38.339746+00:00,2024-09-26 09:12:12.233284+00:00
132,132,401.01,2024-11-20 00:05:34.722086+00:00,2025-04-02 06:17:31.273397+00:00
133,133,1354.82,2025-05-25 07:16:46.607388+00:00,2025-09-08 11:13:57.246245+00:00
134,134,1096.91,2024-04-05 04:40:19.298705+00:00,2024-11-08 21:20:35.082048+00:00
135,135,44.41,2024-04-15 00:49:35.975859+00:00,2025-04-15 17:33:19.370416+00:00
136,136,319.48,2024-03-07 04:37:14.460571+00:00,2024-08-10 06:20:09.278835+00:00
137,137,1797.55,2025-05-07 15:11:26.233635+00:00,2025-08-01 21:33:19.110441+00:00
138,138,1939.27,2024-04-18 02:41:50.811643+00:00,2024-07-19 18:07:38.626835+00:00
139,139,1667.51,2025-08-06 18:07:18.549719+00:00,2024-11-07 21:18:39.453068+00:00
140,140,1899.83,2024-05-22 04:34:08.972172+00:00,2025-10-28 02:59:48.588616+00:00
141,141,1957.47,2025-12-08 10:31:15.181307+00:00,2025-06-30 00:25:05.127603+00:00
142,142,570.8,2024-12-31 09:21:42.091053+00:00,2024-07-09 17:11:56.964836+00:00
143,143,1984.35,2024-12-31 12:48:24.785063+00:00,2024-04-03 19:25:22.892451+00:00
144,144,1074.15,2025-03-10 18:38:02.378745+00:00,2025-07-19 07:06:40.691888+00:00
145,145,1821.39,2025-05-08 17:11:14.510403+00:00,2025-01-29 09:25:30.435714+00:00
146,146,46.7,2025-12-12 03:07:05.243748+00:00,2024-10-09 21:55:20.298535+00:00
147,147,1409.45,2025-06-12 11:56:55.976720+00:00,2025-08-29 13:46:41.645958+00:00
148,148,105.26,2025-02-16 05:37:20.702700+00:00,2024-12-09 21:51:49.237772+00:00
149,149,384.33,2025-11-23 10:23:36.757064+00:00,2025-10-30 19:45:43.432698+00:00
150,150,267.19,2025-11-01 07:10:58.791950+00:00,2025-06-17 05:16:34.584048+00:00
151,151,1227.06,2025-08-25 18:15:11.976629+00:00,2024-02-27 23:24:45.217116+00:00
152,152,844.26,2025-09-23 21:20:42.480402+00:00,2024-04-29 02:26:58.345289+00:00
153,153,1386.78,2024-05-24 22:06:10.840684+00:00,2024-02-18 13:46:08.670234+00:00
154,154,658.13,2024-12-19 05:40:33.512415+00:00,2025-10-04 00:40:31.975936+00:00
155,155,1568.82,2025-10-15 04:05:39.609235+00:00,2025-02-06 18:57:17.742607+00:00
156,156,1309.09,2024-10-09 10:52:01.142199+00:00,2024-09-28 20:05:36.041847+00:00
157,157,224.23,2026-01-13 00:49:58.426078+00:00,2024-11-13 18:25:54.244698+00:00
158,158,1124.32,2024-12-29 19:05:02.600789+00:00,2024-03-17 20:43:59.697198+00:00
159,159,1607.97,2025-12-07 19:12:33.497191+00:00,2025-01-02 19:21:53.653833+00:00
160,160,1710.06,2025-07-30 08:37:17.258437+00:00,2024-11-24 15:48:14.000419+00:00
161,161,1842.16,2024-01-22 19:41:01.494326+00:00,2025-05-27 13:53:08.029202+00:00
162,162,677.9,2024-07-17 01:36:03.988968+00:00,2025-03-21 11:22:18.812407+00:00
163,163,381.3,2025-10-10 02:31:47.786001+00:00,2025-06-05 13:28:40.348243+00:00
164,164,1775.64,2025-12-15 20:35:36.667087+00:00,2024-03-24 03:01:31.108193+00:00
165,165,460.79,2025-12-02 12:41:45.478407+00:00,2025-05-21 01:02:01.813164+00:00
166,166,1071.12,2024-06-16 20:31:58.209979+00:00,2024-06-29 17:55:59.974839+00:00
167,167,912.04,2024-02-07 14:38:58.712506+00:00,2025-12-01 22:33:58.494850+00:00
168,168,1618.66,2024-05-21 13:50:30.302609+00:00,2024-03-17 02:59:56.736581+00:00
169,169,141.63,2024-05-05 21:56:44.060044+00:00,2024-12-22 17:38:24.984252+00:00
170,170,854.28,2025-01-30 15:29:01.139963+00:00,2024-06-24 11:57:37.598534+00:00
171,171,544.13,2024-11-25 01:43:08.290139+00:00,2024-12-01 11:19:20.910067+00:00
172,172,1314.21,2025-02-17 20:46:30.241573+00:00,2024-06-04 14:06:27.835192+00:00
173,173,551.87,2024-10-18 21:45:21.588686+00:00,2025-01-24 17:16:48.124171+00:00
174,174,1748.3,2025-03-10 12:44:13.342987+00:00,2025-12-10 16:09:45.254604+00:00
175,175,1333.26,2025-03-17 00:11:12.429483+00:00,2025-01-17 21:11:07.610094+00:00
176,176,1136.41,2024-08-07 21:17:09.308248+00:00,2024-06-16 02:45:33.377367+00:00
177,177,1346.54,2025-12-26 03:17:52.935709+00:00,2025-05-22 08:54:50.447031+00:00
178,178,443.1,2025-09-12 22:11:32.871482+00:00,2025-10-29 21:32:53.360378+00:00
179,179,1232.34,2024-06-12 14:55:48.137224+00:00,2024-05-25 19:09:40.031961+00:00
180,180,1959.56,2024-05-07 01:54:16.956333+00:00,2025-05-16 10:06:20.331058+00:00
181,181,527.73,2024-08-09 17:34:33.423114+00:00,2024-10-30 00:40:28.677690+00:00
182,182,634.71,2025-08-01 06:41:26.379563+00:00,2025-08-22 19:50:27.551152+00:00
183,183,1491.16,2024-02-11 03:42:48.277336+00:00,2024-07-20 21:51:24.439125+00:00
184,184,1571.43,2025-03-30 22:11:37.494456+00:00,2025-05-25 03:33:30.140065+00:00
185,185,608.48,2024-02-10 21:37:40.471737+00:00,2025-05-24 02:24:39.569224+00:00
186,186,1144.86,2024-03-09 22:38:09.934916+00:00,2024-08-05 12:47:31.683947+00:00
187,187,1215.33,2025-10-07 03:12:37.749374+00:00,2025-10-24 17:01:27.606071+00:00
188,188,1891.17,2025-08-30 22:16:24.853210+00:00,2024-02-16 21:30:07.187477+00:00
189,189,1064.97,2025-03-07 15:38:43.243505+00:00,2024-03-17 16:48:35.391042+00:00
190,190,1381.68,2024-04-17 17:21:43.562400+00:00,2024-09-29 02:39:09.829942+00:00
191,191,368.35,2025-04-28 23:44:53.690403+00:00,2025-06-17 03:11:48.620000+00:00
192,192,734.01,2024-05-12 12:02:17.638977+00:00,2025-07-15 16:52:36.522845+00:00
193,193,290.21,2025-04-15 20:28:31.352275+00:00,2025-02-17 17:40:59.984612+00:00
194,194,139.73,2024-04-03 18:06:30.628947+00:00,2024-06-03 20:56:21.901643+00:00
195,195,517.27,2024-03-08 08:51:03.526262+00:00,2025-06-27 12:13:59.008409+00:00
196,196,1066.17,2024-01-31 13:11:28.078140+00:00,2024-02-26 18:12:32.583004+00:00
197,197,287.1,2024-03-27 22:45:04.689318+00:00,2025-04-16 11:45:41.343956+00:00
198,198,81.97,2024-03-29 04:32:07.441821+00:00,2025-09-12 00:01:35.399544+00:00
199,199,138.4,2025-11-20 06:19:41.388458+00:00,2025-07-13 21:25:39.656433+00:00
200,200,1557.64,2024-12-14 22:12:44.726659+00:00,2024-03-12 21:16:53.586710+00:00
201,201,637.67,2025-12-08 00:13:48.132485+00:00,2025-07-24 06:06:30.081697+00:00
202,202,786.46,2024-11-26 12:28:59.619357+00:00,2025-09-30 06:08:05.540266+00:00
203,203,1027.91,2025-05-12 19:37:57.317228+00:00,2025-03-10 20:47:34.087801+00:00
204,204,509.87,2025-09-30 01:42:25.270601+00:00,2024-08-26 04:37:02.105168+00:00
205,205,1468.05,2024-03-20 03:58:21.432662+00:00,2024-03-04 04:16:03.980822+00:00
206,206,316.59,2024-11-15 09:54:31.317910+00:00,2024-03-10 05:19:05.149849+00:00
207,207,1927.48,2025-06-16 16:08:08.003174+00:00,2024-06-07 16:49:05.787117+00:00
208,208,619.52,2025-10-15 20:09:54.398442+00:00,2025-06-20 00:16:01.353924+00:00
209,209,1467.0,2025-04-23 16:14:59.860279+00:00,2025-03-04 01:09:46.853786+00:00
210,210,1223.64,2025-08-28 16:35:39.692001+00:00,2024-12-19 08:09:11.968623+00:00
211,211,1127.47,2025-06-23 19:34:14.188596+00:00,2025-12-24 04:34:43.501585+00:00
212,212,768.37,2024-10-20 13:26:01.717022+00:00,2025-07-22 15:26:07.191862+00:00
213,213,1490.91,2025-01-28 16:55:08.938292+00:00,2024-10-26 19:09:45.453607+00:00
214,214,1434.4,2025-11-02 05:31:29.017999+00:00,2025-08-15 18:14:55.449636+00:00
215,215,432.25,2024-04-12 15:24:25.909976+00:00,2025-04-30 00:28:09.318228+00:00
216,216,1482.97,2024-11-28 13:59:26.344707+00:00,2024-06-26 08:16:47.752859+00:00
217,217,1136.83,2024-09-07 12:30:04.364775+00:00,2024-05-05 23:48:22.739353+00:00
218,218,1049.94,2025-01-17 00:33:40.441707+00:00,2024-12-06 06:34:29.343157+00:00
219,219,1787.06,2025-05-28 09:52:55.564421+00:00,2025-06-26 07:54:29.758787+00:00
220,220,1824.9,2024-04-09 06:13:24.154829+00:00,2025-02-05 10:37:48.987359+00:00
221,221,547.47,2025-12-09 04:11:38.776098+00:00,2024-09-02 20:32:25.410965+00:00
222,222,28.05,2024-04-04 12:16:19.109537+00:00,2025-02-07 10:42:55.147267+00:00
223,223,171.77,2024-12-16 21:16:23.294645+00:00,2025-11-20 22:04:46.611923+00:00
224,224,79.79,2025-12-15 07:06:09.471635+00:00,2024-12-12 12:37:28.755245+00:00
225,225,1899.87,2025-07-28 17:37:50.917369+00:00,2025-10-14 01:53:41.290400+00:00
226,226,593.44,2024-11-20 17:41:21.299321+00:00,2025-12-27 19:07:06.364630+00:00
227,227,725.17,2024-02-02 05:45:22.525922+00:00,2025-12-09 07:58:29.135005+00:00
228,228,88.5,2024-06-08 21:38:10.748458+00:00,2025-03-06 23:59:10.506929+00:00
229,229,1983.96,2025-07-17 01:47:21.198643+00:00,2025-08-29 09:42:28.877484+00:00
230,230,233.87,2025-07-15 03:43:05.843677+00:00,2025-06-16 23:44:52.199723+00:00
231,231,129.72,2024-12-07 21:34:08.646067+00:00,2024-09-05 05:18:45.183541+00:00
232,232,1452.04,2025-06-30 12:51:36.775039+00:00,2025-06-13 18:53:52.654744+00:00
233,233,405.66,2024-08-13 12:14:34.793191+00:00,2025-10-18 17:31:11.031539+00:00
234,234,1764.67,2024-06-09 12:21:27.993167+00:00,2024-02-07 21:32:40.639714+00:00
235,235,48.76,2025-08-24 15:21:12.718590+00:00,2024-12-06 01:04:21.314052+00:00
236,236,1846.18,2025-12-10 13:30:49.595256+00:00,2024-08-09 07:49:09.062446+00:00
237,237,185.25,2024-04-22 07:43:54.596756+00:00,2024-03-23 14:41:07.990149+00:00
238,238,1740.85,2024-04-06 22:21:31.700898+00:00,2024-09-27 18:32:39.972214+00:00
239,239,167.87,2026-01-21 01:12:38.256178+00:00,2025-04-21 00:08:05.705225+00:00
240,240,70.73,2024-12-25 18:20:03.747638+00:00,2024-03-28 03:12:04.164000+00:00
241,241,1030.23,2025-09-25 18:16:21.018342+00:00,2025-11-09 20:43:30.575087+00:00
242,242,439.12,2024-04-19 01:17:03.197467+00:00,2025-09-28 21:50:49.180908+00:00
243,243,552.34,2024-03-16 16:39:47.742183+00:00,2025-05-25 09:49:55.058127+00:00
244,244,1036.97,2025-07-30 02:45:39.174244+00:00,2024-11-06 18:45:30.443986+00:00
245,245,865.39,2024-05-18 13:58:34.853008+00:00,2024-03-10 00:01:08.142073+00:00
246,246,1489.18,2025-12-28 20:57:06.959552+00:00,2025-05-23 08:09:55.751591+00:00
247,247,1156.74,2024-03-11 04:22:19.118573+00:00,2024-04-19 15:58:38.082010+00:00
248,248,301.5,2024-04-23 15:15:09.636009+00:00,2025-11-22 07:20:17.259115+00:00
249,249,1061.92,2024-11-26 01:22:24.654007+00:00,2024-08-01 05:21:01.635666+00:00
250,250,781.28,2025-11-09 09:40:49.666598+00:00,2025-03-11 03:07:10.277199+00:00
251,251,493.68,2025-10-16 13:09:46.752226+00:00,2025-12-07 21:03:59.068586+00:00
252,252,396.26,2024-07-17 02:28:11.815361+00:00,2025-03-17 01:21:37.278893+00:00
253,253,1839.03,2025-06-10 03:54:42.752347+00:00,2025-12-29 01:09:12.024195+00:00
254,254,1049.59,2024-03-17 11:28:16.109123+00:00,2025-01-04 13:05:58.040231+00:00
255,255,370.2,2025-12-24 22:24:36.133567+00:00,2025-11-04 18:45:29.179021+00:00
256,256,1929.09,2024-05-04 11:46:41.547342+00:00,2025-05-09 17:36:14.069144+00:00
257,257,928.54,2024-07-20 17:50:29.319866+00:00,2025-01-09 03:24:51.159824+00:00
258,258,175.58,2024-07-14 14:49:51.211069+00:00,2024-03-31 21:39:35.994981+00:00
259,259,365.4,2024-08-09 05:01:29.152401+00:00,2024-02-20 01:29:32.827895+00:00
260,260,873.18,2024-02-23 01:39:21.499394+00:00,2025-09-11 12:47:47.513497+00:00
261,261,1822.68,2026-01-04 13:28:37.558588+00:00,2025-11-26 06:47:45.349529+00:00
262,262,708.23,2025-10-30 03:57:33.090274+00:00,2024-08-17 19:48:16.958730+00:00
263,263,1001.68,2024-06-03 09:40:04.040673+00:00,2025-08-12 13:19:36.299916+00:00
264,264,1864.97,2025-04-15 14:10:30.411662+00:00,2024-09-19 02:08:10.968392+00:00
265,265,959.84,2024-02-13 18:03:30.879891+00:00,2024-03-24 20:52:07.680879+00:00
266,266,692.73,2025-02-14 01:39:51.811484+00:00,2024-12-21 00:56:59.075664+00:00
267,267,1796.46,2024-10-11 04:12:16.393628+00:00,2024-08-10 18:09:54.547587+00:00
268,268,1179.48,2024-02-12 18:23:12.051211+00:00,2024-12-20 05:36:47.964279+00:00
269,269,1269.14,2024-03-23 22:16:42.877943+00:00,2024-08-28 02:34:55.278024+00:00
270,270,807.91,2025-07-20 16:03:13.174427+00:00,2025-08-24 06:29:30.566994+00:00
271,271,1952.25,2025-04-26 15:15:31.368410+00:00,2024-08-06 20:16:57.731835+00:00
272,272,1407.93,2025-01-23 03:51:53.066403+00:00,2024-01-31 09:22:20.543551+00:00
273,273,1891.49,2024-11-16 13:06:11.094596+00:00,2024-04-20 07:04:56.013276+00:00
274,274,307.13,2024-08-17 22:44:46.885102+00:00,2025-08-26 01:41:47.160114+00:00
275,275,1606.35,2024-06-03 07:15:04.343137+00:00,2025-04-12 10:48:53.663813+00:00
276,276,37.59,2025-11-08 00:45:07.248343+00:00,2025-07-18 22:13:10.331547+00:00
277,277,621.44,2024-04-08 13:24:06.066958+00:00,2025-08-11 18:41:37.393682+00:00
278,278,1051.28,2025-07-29 13:40:57.725023+00:00,2025-02-12 20:01:13.281997+00:00
279,279,1734.09,2025-07-07 13:58:47.737414+00:00,2024-02-09 14:51:12.866518+00:00
280,280,1011.36,2024-10-07 02:39:10.176901+00:00,2024-03-18 09:02:20.876001+00:00
281,281,1755.16,2024-10-04 13:02:18.826833+00:00,2024-04-12 14:07:15.697084+00:00
282,282,1984.9,2025-10-12 22:24:04.744333+00:00,2025-12-31 05:25:55.780001+00:00
283,283,425.47,2024-11-17 19:08:43.452581+00:00,2024-08-22 16:39:30.457897+00:00
284,284,610.06,2024-11-05 19:00:25.519430+00:00,2025-04-11 11:21:03.368277+00:00
285,285,544.73,2025-11-02 09:06:05.521373+00:00,2025-08-06 12:02:58.201941+00:00
286,286,1818.89,2025-09-01 09:58:15.984146+00:00,2024-09-08 01:31:47.659518+00:00
287,287,349.78,2024-11-16 11:28:08.103536+00:00,2025-04-21 10:46:48.896650+00:00
