maintenance_ticket_id,room_id,assigned_employee_id,issue_description,severity,status,created_at,resolved_at
13,747,1073,Window expert fire need score find become never eye beat mean design total.,MEDIUM,CANCELLED,2026-01-21 14:20:27.395341+00:00,2024-09-10 02:43:13.724274+00:00
14,438,966,Model cell necessary manager foreign maybe soldier raise fly worker certain.,MEDIUM,IN_PROGRESS,2024-10-24 23:15:02.173018+00:00,2025-09-12 15:43:58.987107+00:00
15,163,449,Worker those table resource simple forget voice modern term site above.,LOW,OPEN,2024-03-16 05:07:56.285597+00:00,2025-07-14 22:47:03.376278+00:00
16,960,6,Government mission admit join executive six consumer effort black which thought.,MEDIUM,IN_PROGRESS,2024-12-27 13:08:41.117503+00:00,2025-08-02 14:56:23.754203+00:00
17,424,316,Practice you hair charge price once perhaps white plant art.,CRITICAL,CANCELLED,2024-09-10 23:34:11.495281+00:00,2024-10-14 07:06:47.037543+00:00
18,229,841,Old environmental five end nearly quickly say first.,LOW,OPEN,2026-01-01 00:50:51.699842+00:00,2025-04-30 19:21:59.013268+00:00
19,697,197,Sure art raise grow between picture animal role develop response push under.,HIGH,DONE,2026-01-13 12:18:53.060753+00:00,2026-01-08 15:27:09.759876+00:00
20,980,648,Response shoulder same official sort most many push seat these first.,HIGH,CANCELLED,2025-08-22 08:10:13.925684+00:00,2025-08-24 02:02:28.470568+00:00
21,499,411,Suddenly month Mr strong change church anything.,CRITICAL,IN_PROGRESS,2025-03-02 02:34:16.028447+00:00,2024-02-17 20:19:16.544067+00:00
22,52,1067,Especially late environmental conference myself in heavy event any.,HIGH,OPEN,2024-03-11 05:19:32.343977+00:00,2024-06-06 05:08:59.634292+00:00
23,496,821,More affect series prove budget use billion so good wind.,LOW,DONE,2024-02-21 05:47:16.332626+00:00,2025-10-20 18:24:34.311124+00:00
24,86,82,Follow someone happen tonight final keep heart.,LOW,OPEN,2025-05-12 12:13:17.186343+00:00,2025-10-23 01:28:57.391906+00:00
25,636,1744,Structure behavior general call factor according drop.,CRITICAL,IN_PROGRESS,2024-09-24 08:31:43.813901+00:00,2024-03-19 23:13:34.213625+00:00
26,786,1638,Write threat sometimes guy four risk serve star raise no none lawyer.,HIGH,DONE,2025-09-18 15:10:21.456557+00:00,2025-08-31 13:50:34.959281+00:00
27,19,1471,Goal play whose product enter billion foreign discover reflect certainly group herself gas.,LOW,CANCELLED,2024-11-20 00:18:52.659899+00:00,2024-04-12 12:37:22.931468+00:00
28,380,722,Economy media buy save evening national stuff put several parent.,HIGH,IN_PROGRESS,2024-02-26 19:03:41.768406+00:00,2025-01-14 15:18:25.178306+00:00
29,986,670,According measure week dark claim certain risk nice.,LOW,DONE,2024-06-05 22:39:56.311876+00:00,2025-04-14 08:07:18.104740+00:00
30,706,71,Leave natural century card head television.,CRITICAL,IN_PROGRESS,2025-04-24 13:33:01.380815+00:00,2024-02-24 17:29:59.067764+00:00
31,813,106,Stuff little cost fill still season.,HIGH,IN_PROGRESS,2024-11-20 20:40:43.878583+00:00,2025-03-28 00:11:15.414261+00:00
32,560,1933,Song laugh myself television my week local.,CRITICAL,DONE,2024-01-27 17:39:53.291324+00:00,2025-11-11 04:19:57.745743+00:00
33,452,1325,Community toward have base traditional arrive effort buy southern firm road.,HIGH,CANCELLED,2024-06-20 12:32:49.438447+00:00,2025-09-10 15:43:07.433541+00:00
34,878,178,Follow relate reduce voice interview quite entire also decide side.,MEDIUM,CANCELLED,2025-06-24 16:10:11.099755+00:00,2024-09-03 22:36:21.222849+00:00
35,864,316,Speech discover past record physical with wind teacher.,MEDIUM,CANCELLED,2024-03-19 07:08:04.505866+00:00,2024-09-20 04:12:59.701378+00:00
36,897,315,Feeling everything if against summer organization various.,MEDIUM,IN_PROGRESS,2024-06-04 11:58:23.834751+00:00,2025-02-18 03:34:54.041038+00:00
37,921,79,Tough anyone pressure international allow heart half book challenge develop quickly once audience.,CRITICAL,IN_PROGRESS,2024-05-03 08:01:28.014023+00:00,2025-07-08 17:36:03.624817+00:00
38,38,622,Do letter through red himself Mrs site hundred wind.,HIGH,IN_PROGRESS,2024-03-17 04:12:44.580875+00:00,2024-08-19 11:53:07.551593+00:00
39,834,853,Teach also her hit physical bit rule Mrs join air she.,HIGH,OPEN,2025-02-13 09:38:15.937643+00:00,2024-09-26 07:54:22.019535+00:00
40,380,207,Yet civil remember alone increase or scene drive.,MEDIUM,IN_PROGRESS,2024-08-28 03:51:07.643392+00:00,2024-09-21 14:56:39.692597+00:00
41,173,1300,Might every ago hear sing contain hair together seem bad at.,LOW,DONE,2024-05-30 10:25:29.805767+00:00,2025-11-10 07:55:34.303025+00:00
42,957,386,I interest yes party poor manager.,CRITICAL,OPEN,2025-11-09 15:11:41.950998+00:00,2025-03-19 20:30:10.502867+00:00
43,677,77,Commercial leader majority keep teach require data two white believe six.,MEDIUM,OPEN,2024-03-08 08:55:22.128796+00:00,2024-02-11 17:04:19.612813+00:00
44,268,2,Point hold bank chance section wall wear yeah black hear production.,HIGH,IN_PROGRESS,2025-06-06 14:33:58.879892+00:00,2024-08-01 14:34:48.425067+00:00
45,900,1486,Economic final home degree end institution.,CRITICAL,CANCELLED,2025-05-14 02:31:38.779820+00:00,2024-09-13 18:55:51.382449+00:00
46,67,1089,Newspaper low lose dream really could look expect chair control as.,CRITICAL,IN_PROGRESS,2025-03-02 16:41:54.784755+00:00,2025-09-04 04:35:53.809525+00:00
47,25,1731,Difference use big ability to deal account.,MEDIUM,OPEN,2024-05-09 09:41:27.076215+00:00,2024-02-25 02:55:59.303240+00:00
48,311,760,Rather spring receive sort example exactly when expect wish though each.,LOW,CANCELLED,2025-12-02 04:17:18.763900+00:00,2024-08-10 20:45:08.945692+00:00
49,618,1213,Base of other ever which every half concern accept western.,MEDIUM,DONE,2025-04-07 17:40:18.366334+00:00,2024-05-06 23:45:11.106962+00:00
50,352,280,Majority century cultural arrive dinner resource true may coach economic.,HIGH,CANCELLED,2025-11-13 08:30:23.065914+00:00,2025-07-23 07:24:12.565023+00:00
51,178,1219,Central arm summer drive opportunity rule turn question more home executive.,LOW,CANCELLED,2025-10-01 06:09:27.923511+00:00,2025-04-26 15:12:31.120373+00:00
52,68,1837,Scene son once event Republican necessary society writer without director paper first local off.,MEDIUM,DONE,2025-11-08 03:24:03.219411+00:00,2024-11-13 21:02:44.892193+00:00
53,827,642,Heart ready floor generation age anyone language opportunity.,LOW,OPEN,2024-09-01 06:40:55.721533+00:00,2025-12-13 20:33:00.979287+00:00
54,501,659,Author hand reflect shoulder wait dream national later loss success expect.,LOW,IN_PROGRESS,2025-11-16 20:30:50.398273+00:00,2025-08-08 02:20:08.874609+00:00
55,745,857,Determine beautiful record security human sense garden add trial.,CRITICAL,IN_PROGRESS,2025-07-04 13:54:32.316405+00:00,2025-01-22 23:25:11.884411+00:00
56,331,1779,Organization strategy save institution house argue media citizen away explain senior.,LOW,CANCELLED,2024-09-11 18:26:57.888471+00:00,2024-07-02 19:58:51.381319+00:00
57,555,1858,Stock purpose back free culture support region create story college buy though.,CRITICAL,IN_PROGRESS,2024-12-19 14:51:50.869436+00:00,2024-02-12 22:37:31.855884+00:00
58,276,779,Staff end attention season tough left.,LOW,OPEN,2025-08-30 13:36:50.942654+00:00,2024-07-16 14:29:14.108994+00:00
59,334,723,Body approach modern exactly board again feel.,HIGH,OPEN,2024-09-24 07:10:01.441565+00:00,2025-12-19 13:18:55.401645+00:00
60,47,1156,Truth member prepare return through threat leader sound change me development commercial if.,MEDIUM,CANCELLED,2024-10-14 08:33:09.617984+00:00,2024-05-04 19:04:48.799113+00:00
61,985,1497,Soon allow white thing value reflect.,MEDIUM,OPEN,2024-12-02 08:01:12.329037+00:00,2025-03-26 01:00:24.575758+00:00
62,328,665,Answer could table analysis miss pass international allow wish.,HIGH,CANCELLED,2025-04-15 02:59:49.366151+00:00,2025-01-10 20:02:48.606196+00:00
63,726,920,Consumer and technology community finish outside trouble film.,MEDIUM,DONE,2026-01-20 19:28:13.475914+00:00,2025-10-21 12:24:25.715406+00:00
64,624,1295,Form fact tree do his civil benefit as run worker.,HIGH,OPEN,2024-08-16 15:22:08.818173+00:00,2025-03-17 02:55:59.460605+00:00
65,82,1092,Take education middle box both many full let.,HIGH,OPEN,2024-03-24 03:18:49.225432+00:00,2025-07-20 04:48:01.023452+00:00
66,431,240,Time those lose institution care former.,LOW,CANCELLED,2025-05-31 18:32:25.048077+00:00,2024-10-01 00:21:47.283775+00:00
67,70,12,Bit over miss accept so identify street.,CRITICAL,OPEN,2025-06-20 23:32:26.395569+00:00,2025-05-25 17:05:33.244327+00:00
68,440,524,Whose outside truth option interview someone price nothing south imagine.,LOW,DONE,2025-07-30 20:40:39.501446+00:00,2024-08-08 02:27:50.105038+00:00
69,793,914,Surface week stock fine two hour me west current house product message.,MEDIUM,CANCELLED,2024-10-19 13:09:01.836301+00:00,2024-12-21 15:33:29.790477+00:00
70,705,435,Any per represent lead safe various government increase.,MEDIUM,CANCELLED,2024-05-06 13:38:19.561830+00:00,2024-04-10 03:38:41.311092+00:00
71,233,1528,But surface seat develop world course program less city.,MEDIUM,CANCELLED,2024-01-25 06:18:32.500571+00:00,2025-02-09 03:03:56.582466+00:00
72,48,1865,Power music certainly control establish issue recognize car.,LOW,DONE,2024-03-12 19:10:00.201932+00:00,2025-07-10 19:00:42.876564+00:00
73,730,1405,Travel believe beyond center although and season table figure especially who may less.,HIGH,OPEN,2024-07-04 09:30:47.287463+00:00,2025-08-24 11:45:59.312750+00:00
74,846,249,Sell since security car talk get religious.,HIGH,OPEN,2026-01-15 20:56:27.405784+00:00,2025-10-13 15:12:45.521881+00:00
75,471,1952,Art door generation national staff easy something study research represent.,LOW,CANCELLED,2025-09-27 21:55:05.883911+00:00,2025-10-04 18:19:37.589011+00:00
76,914,1036,Than enter firm former year laugh section enter list off.,HIGH,CANCELLED,2025-03-24 21:01:09.099237+00:00,2024-02-11 16:35:13.858044+00:00
77,600,153,Me area response recognize crime though indicate practice feel evening.,MEDIUM,DONE,2024-05-30 15:47:08.236057+00:00,2025-12-22 18:37:21.674612+00:00
78,911,1766,Image early trade experience author relationship.,LOW,IN_PROGRESS,2024-04-20 14:09:33.893289+00:00,2025-11-15 03:20:57.717441+00:00
79,62,22,Apply growth process boy find commercial thing state mouth later.,MEDIUM,CANCELLED,2024-11-15 11:43:15.914921+00:00,2024-04-05 07:46:31.050338+00:00
80,239,346,Develop federal technology style style color a although east wind pick a charge.,HIGH,DONE,2025-10-27 22:11:07.525376+00:00,2024-10-04 04:06:53.507839+00:00
81,868,1512,Relationship budget expect performance subject majority catch language such return sort collection physical.,LOW,DONE,2025-05-09 12:45:39.029502+00:00,2025-10-16 10:00:19.706430+00:00
82,311,401,Window Mr drop but perhaps fish behavior.,LOW,DONE,2024-12-23 18:57:34.506838+00:00,2024-05-18 19:30:42.951443+00:00
83,887,1331,Important crime prevent per understand financial chair hold style tend Democrat I.,CRITICAL,IN_PROGRESS,2025-03-21 10:11:53.175919+00:00,2025-04-09 11:03:08.622510+00:00
84,176,361,Center government woman field space find happy.,LOW,DONE,2025-05-08 18:05:45.396848+00:00,2025-06-14 15:55:48.829882+00:00
85,475,1471,Good that throughout dinner claim yeah window local those.,MEDIUM,OPEN,2024-02-07 03:41:39.808474+00:00,2025-04-15 03:06:10.723424+00:00
86,208,1401,Work law movie real song west matter small simply party mother wall.,CRITICAL,CANCELLED,2024-02-10 20:56:13.809699+00:00,2025-12-14 07:11:59.979261+00:00
87,270,394,Us foot increase so above our character majority hospital.,CRITICAL,DONE,2025-02-17 21:32:22.185159+00:00,2026-01-14 18:33:10.829149+00:00
88,417,540,While develop mouth start drop group activity scene far local guy.,CRITICAL,IN_PROGRESS,2025-09-22 12:58:19.795102+00:00,2024-07-17 02:05:00.695367+00:00
89,919,1295,Themselves however growth foreign probably question third pick house edge somebody page.,HIGH,OPEN,2025-03-08 15:32:04.168203+00:00,2025-06-15 18:39:02.036766+00:00
90,224,223,Wind edge along party who worry box eat society.,HIGH,OPEN,2024-10-19 00:22:05.412172+00:00,2026-01-06 06:34:49.098630+00:00
91,28,281,Way religious environmental reason agree exactly item human wear this Congress society.,LOW,OPEN,2025-08-26 18:32:36.677885+00:00,2025-07-21 05:41:11.024810+00:00
92,61,1336,Ask consider list series get have including bring must social.,CRITICAL,CANCELLED,2024-03-07 22:41:28.870876+00:00,2024-07-09 19:24:40.019598+00:00
93,479,1790,Should family might pass support maybe.,HIGH,DONE,2025-12-18 21:29:47.744101+00:00,2025-08-24 05:03:06.748027+00:00
94,693,1801,Hear this hair daughter whether bad room life write interest finish pattern.,MEDIUM,CANCELLED,2024-03-03 17:48:19.056771+00:00,2024-02-18 12:03:57.667220+00:00
95,353,1542,Cost around project data today exactly open nice.,LOW,CANCELLED,2024-08-19 17:30:31.861926+00:00,2024-02-10 03:00:09.572373+00:00
96,211,347,Purpose show since gun about important mouth.,CRITICAL,DONE,2024-10-01 03:20:19.307540+00:00,2025-09-19 20:37:37.545465+00:00
97,428,1721,Into onto become dog draw bag middle.,CRITICAL,CANCELLED,2024-02-23 15:25:56.335356+00:00,2024-08-01 15:46:56.247825+00:00
98,372,237,Then party they character avoid senior letter study per see other.,MEDIUM,OPEN,2024-06-22 16:26:43.440902+00:00,2025-08-07 03:05:02.431029+00:00
99,663,1197,Hard charge ten pass reality mission watch body many else big every man.,HIGH,OPEN,2025-09-13 02:11:32.075650+00:00,2025-07-06 17:22:03.633698+00:00
100,933,1326,Sea help can measure free month improve military write including.,MEDIUM,DONE,2024-11-11 10:30:02.108487+00:00,2024-11-28 14:06:05.852725+00:00
101,414,1977,Three popular any experience information some.,LOW,DONE,2025-05-15 23:47:30.412510+00:00,2025-11-03 02:33:45.724651+00:00
102,862,1248,Within discuss sort staff tough here surface.,CRITICAL,IN_PROGRESS,2024-04-23 13:34:44.276084+00:00,2024-08-31 00:56:02.287363+00:00
103,495,1802,Drive world where natural number rock history reflect language item above first door.,HIGH,DONE,2025-09-06 22:55:36.505701+00:00,2025-06-12 17:02:53.186653+00:00
104,142,908,Him challenge teach leg enough get art state property thank oil.,LOW,OPEN,2024-09-25 21:51:12.515943+00:00,2024-03-28 21:03:23.547278+00:00
105,180,841,Sell race trial explain include drive ready physical occur.,HIGH,OPEN,2025-03-15 09:08:07.294601+00:00,2024-02-23 06:55:17.713713+00:00
106,149,1292,Pattern throughout fill author study appear floor.,LOW,CANCELLED,2024-05-13 07:24:22.316063+00:00,2025-09-24 19:32:39.537355+00:00
107,958,1230,Trip member still age decision who measure deal country before partner.,LOW,OPEN,2025-12-10 04:12:46.198004+00:00,2025-04-29 14:37:20.789064+00:00
108,939,145,She today consider upon entire meeting dinner direction sort wall fly.,CRITICAL,DONE,2024-07-11 11:20:22.427537+00:00,2024-01-28 08:15:47.090961+00:00
109,888,1716,Relationship site black stage site court feel him beautiful structure both cold.,CRITICAL,IN_PROGRESS,2024-05-14 07:32:34.615781+00:00,2025-05-28 06:50:15.214278+00:00
110,504,707,Price sort individual politics model receive cold thousand.,LOW,DONE,2024-05-18 07:25:28.501122+00:00,2025-05-11 10:56:21.432136+00:00
111,545,1502,Inside before least away institution house nation organization between.,CRITICAL,IN_PROGRESS,2025-02-11 11:28:46.799386+00:00,2026-01-02 16:10:33.666637+00:00
112,581,1219,Want gun technology yard can rich himself.,MEDIUM,CANCELLED,2025-07-25 13:02:24.368360+00:00,2026-01-08 21:14:25.185975+00:00
113,606,1464,Institution Mrs sister whether her explain dark.,HIGH,CANCELLED,2025-11-16 15:33:04.691040+00:00,2024-11-29 02:27:41.048908+00:00
114,781,1919,Avoid sing now goal long him.,HIGH,CANCELLED,2025-06-12 16:33:49.866867+00:00,2025-08-29 07:10:20.295220+00:00
115,167,1068,Nature goal politics bar whom in foot artist term machine loss charge.,HIGH,DONE,2024-08-16 08:58:49.596236+00:00,2025-03-09 10:45:02.376144+00:00
116,579,232,Will about charge arrive leave type.,MEDIUM,DONE,2024-09-12 16:13:34.007493+00:00,2025-10-07 12:47:57.954331+00:00
117,639,848,Man three your indeed reason sure wife focus physical meeting law employee better.,CRITICAL,OPEN,2024-08-11 08:17:59.723778+00:00,2024-06-30 16:47:39.548033+00:00
118,347,1753,Ahead shake officer crime phone do.,HIGH,CANCELLED,2024-08-20 03:32:22.991336+00:00,2025-06-03 02:16:30.029780+00:00
119,316,1059,Level scene evening laugh hospital add.,MEDIUM,IN_PROGRESS,2024-11-08 08:32:52.705887+00:00,2025-12-13 18:30:39.386637+00:00
120,145,1368,Politics answer bank within care woman.,MEDIUM,DONE,2024-09-26 12:44:33.489215+00:00,2024-11-06 14:46:24.124095+00:00
121,395,882,Leader specific structure beautiful operation resource indicate product recently.,LOW,DONE,2025-10-26 04:45:16.769133+00:00,2024-12-30 15:23:35.811958+00:00
122,10,530,Receive her military present activity spend as admit head apply simple free.,MEDIUM,CANCELLED,2025-05-17 19:33:12.425236+00:00,2025-06-01 14:39:48.086186+00:00
123,227,826,Shoulder door wind force prove occur ready again box.,MEDIUM,IN_PROGRESS,2024-12-27 12:23:29.586109+00:00,2025-02-19 00:44:49.412691+00:00
124,965,1048,Conference board suffer pull rock arm face similar might politics future.,LOW,OPEN,2025-11-08 21:40:15.208332+00:00,2025-09-01 10:55:16.873510+00:00
125,976,299,Hundred treatment policy drop most game baby important eye computer really.,LOW,OPEN,2024-10-22 14:11:30.229465+00:00,2025-02-24 06:16:36.411769+00:00
126,614,394,Trial drug draw page write budget inside campaign stock fund citizen.,MEDIUM,IN_PROGRESS,2024-05-29 21:05:47.978929+00:00,2024-12-06 00:59:08.070465+00:00
127,21,1273,Too four attorney you fear some prevent character.,CRITICAL,CANCELLED,2025-03-22 20:56:18.219747+00:00,2024-05-17 13:59:52.596221+00:00
128,582,1205,Bad choice smile bill sure minute public sound campaign challenge really how.,MEDIUM,IN_PROGRESS,2024-01-27 21:35:20.346749+00:00,2025-01-28 19:02:23.715590+00:00
129,14,1635,Stand can beautiful represent many our smile still once response age.,HIGH,CANCELLED,2025-06-14 03:27:48.778785+00:00,2024-12-15 04:29:01.273144+00:00
130,952,1891,Next financial voice section might as.,LOW,CANCELLED,2025-09-01 16:02:35.025346+00:00,2024-03-20 08:27:50.216967+00:00
131,998,1921,Drop will effect evening say person many production computer feeling physical.,MEDIUM,CANCELLED,2025-12-09 00:56:17.731326+00:00,2024-05-05 19:00:12.808281+00:00
132,937,1019,Simply civil media back industry effort step theory.,HIGH,IN_PROGRESS,2024-03-27 20:52:16.358746+00:00,2025-06-01 16:39:57.984118+00:00
133,68,634,Understand pattern everybody like boy Democrat finish star list.,MEDIUM,CANCELLED,2024-12-07 16:44:28.824952+00:00,2025-05-03 08:51:11.559123+00:00
134,659,878,Store hear others senior gas throughout listen left player which.,MEDIUM,IN_PROGRESS,2024-05-21 22:35:40.181516+00:00,2024-10-04 12:44:51.211152+00:00
135,452,1799,Line something law enter firm certain sell through site beat trip.,LOW,DONE,2025-11-21 09:10:22.727246+00:00,2024-03-11 00:34:18.073679+00:00
136,964,1656,American most friend level inside find author major second factor.,HIGH,OPEN,2025-07-11 05:22:39.152851+00:00,2024-08-28 17:24:43.473448+00:00
137,968,1870,Worry real red class more human gas your easy successful rather mission.,MEDIUM,OPEN,2025-03-08 06:36:22.505936+00:00,2025-06-16 14:20:55.584692+00:00
138,779,1017,Team forward image today physical that their into.,CRITICAL,OPEN,2025-11-29 04:07:23.518631+00:00,2024-02-06 23:24:58.819883+00:00
139,757,1236,Ask drug almost direction image professional clearly security her military strong under assume.,LOW,OPEN,2025-11-27 00:34:57.785186+00:00,2024-11-07 06:09:20.843673+00:00
140,870,1627,Cup painting too reach model effort exactly no everything recognize develop positive war.,MEDIUM,OPEN,2024-09-24 01:48:29.603768+00:00,2025-04-24 03:14:30.100425+00:00
141,759,525,Reduce population create happen bit radio these move success among.,CRITICAL,CANCELLED,2025-01-16 23:31:20.125296+00:00,2025-09-30 02:25:21.856053+00:00
142,351,1151,Want type tend training protect Congress heavy again focus amount.,LOW,OPEN,2024-02-12 06:06:10.530712+00:00,2025-08-24 10:39:15.494677+00:00
143,212,1735,Decision budget argue national event first wrong for radio but thank shake hundred.,CRITICAL,IN_PROGRESS,2024-11-29 05:35:47.898882+00:00,2025-11-19 04:33:04.788314+00:00
144,43,1543,Skill set despite according sister information manage.,CRITICAL,CANCELLED,2025-01-03 11:11:18.866220+00:00,2025-08-06 09:52:17.702084+00:00
145,25,829,Reveal building course tough push more prevent firm yard discussion activity authority road.,LOW,DONE,2025-11-19 06:07:20.861759+00:00,2025-11-16 06:31:37.820890+00:00
146,524,996,Action drive different spend certain teacher road rich place do.,HIGH,DONE,2025-02-07 05:02:08.043240+00:00,2024-04-24 17:30:07.001842+00:00
147,388,785,Through prove quite wish where full expect style owner want member.,HIGH,DONE,2025-11-06 22:46:54.347586+00:00,2024-06-21 14:52:49.063269+00:00
148,507,1761,Develop message end activity main inside town scene may message common.,MEDIUM,OPEN,2024-03-02 17:37:22.262460+00:00,2025-01-02 06:49:05.616190+00:00
149,114,471,Quickly six bar unit might certainly address science public course shoulder but.,MEDIUM,OPEN,2024-11-26 02:15:00.453009+00:00,2025-02-03 15:47:51.871819+00:00
150,292,1294,Goal by notice of catch attention land lot most city.,CRITICAL,CANCELLED,2024-09-24 14:27:28.495600+00:00,2024-12-04 02:48:31.888891+00:00
151,243,1848,Plant head than so writer claim his thousand board learn interest.,HIGH,OPEN,2024-02-03 09:10:45.624867+00:00,2024-12-27 04:49:15.963940+00:00
152,872,464,Fill phone care beyond wife experience nor defense play.,LOW,CANCELLED,2025-01-01 04:42:09.916171+00:00,2025-07-23 17:20:02.337276+00:00
153,182,1253,Join ago growth big thank out rest stop parent stand.,MEDIUM,DONE,2024-03-29 15:40:03.711396+00:00,2025-01-14 02:14:36.191514+00:00
154,194,1534,Letter any open conference book must value next.,MEDIUM,CANCELLED,2024-03-23 09:21:26.034937+00:00,2025-03-06 22:37:49.381810+00:00
155,803,438,Finally democratic black reach manager student idea write modern.,LOW,CANCELLED,2025-10-06 02:43:38.203781+00:00,2024-11-02 14:42:59.048186+00:00
156,91,1286,Outside ok myself hit usually weight white story technology story magazine debate whole.,MEDIUM,DONE,2024-09-05 18:04:27.932614+00:00,2024-05-07 21:27:54.926112+00:00
157,698,1330,Or guess general medical gun likely.,LOW,OPEN,2025-08-24 11:04:38.438745+00:00,2024-07-29 15:29:48.118086+00:00
158,240,496,Attack himself thing purpose drop reflect hear build.,LOW,CANCELLED,2024-04-23 23:19:30.923999+00:00,2024-05-08 16:19:11.757989+00:00
159,650,1157,Increase offer bring relationship third paper let executive part entire to writer.,CRITICAL,CANCELLED,2025-11-03 15:18:10.551181+00:00,2024-12-25 09:06:02.122171+00:00
160,949,1675,Discover whose financial south success price possible collection.,CRITICAL,DONE,2024-08-09 18:21:49.479818+00:00,2024-09-23 16:24:20.656411+00:00
161,38,189,Line campaign concern successful west just news oil say hand.,LOW,IN_PROGRESS,2025-12-02 14:02:20.908647+00:00,2025-04-20 11:00:38.523655+00:00
162,920,139,Do support growth full focus computer prove campaign kid wall start.,HIGH,OPEN,2025-08-09 02:40:11.658188+00:00,2025-05-30 19:15:35.482154+00:00
163,746,1553,School some which capital house operation food like player deal significant lose.,CRITICAL,CANCELLED,2025-11-30 03:18:07.937901+00:00,2025-05-17 21:05:52.175050+00:00
164,197,1452,Lead full professor like some alone pressure admit research consumer chair medical.,MEDIUM,DONE,2026-01-14 02:51:17.693570+00:00,2024-12-14 21:21:34.371284+00:00
165,8,1121,Remain heavy toward recognize task environment mind ball full continue carry.,MEDIUM,CANCELLED,2024-12-16 17:21:08.381023+00:00,2024-07-19 20:27:08.809762+00:00
166,977,461,Occur himself never call power social.,LOW,OPEN,2024-09-08 05:47:51.048799+00:00,2025-11-06 09:35:56.967386+00:00
167,16,1302,Skin red wall final involve fight whose run article dream.,MEDIUM,DONE,2024-03-22 19:05:52.170385+00:00,2024-11-09 03:22:55.603812+00:00
168,95,1365,Four force rule tell stage our remain political little budget economy.,MEDIUM,DONE,2025-12-05 10:46:43.936605+00:00,2025-04-26 00:59:27.779581+00:00
169,86,130,Bar near class produce your answer small like different bill increase child.,MEDIUM,OPEN,2024-06-24 11:56:32.995045+00:00,2025-11-24 00:19:14.335352+00:00
170,753,1277,Article evidence activity Mrs suffer force like return available age.,CRITICAL,OPEN,2025-09-30 09:32:45.211944+00:00,2025-11-08 21:40:09.800238+00:00
171,933,511,Can something final ready science environment eat clearly worry argue.,LOW,DONE,2025-03-24 04:32:26.720103+00:00,2025-07-08 13:49:05.650695+00:00
172,873,1176,Shoulder and morning night everyone attorney high chair someone job season natural before entire.,HIGH,DONE,2025-08-12 22:29:57.778741+00:00,2024-08-12 07:52:08.930285+00:00
173,484,106,Positive war notice few method audience both.,CRITICAL,IN_PROGRESS,2025-12-21 07:29:56.358532+00:00,2024-01-29 18:12:01.196547+00:00
174,406,1542,Study really now stop talk memory rate view quality.,HIGH,DONE,2024-04-23 03:31:59.389095+00:00,2024-03-05 02:48:50.746062+00:00
175,116,188,Coach democratic industry be authority chair have try professional coach per.,LOW,DONE,2024-04-12 01:46:05.225394+00:00,2024-08-10 01:20:00.320088+00:00
176,164,1087,Account evidence better face television social.,HIGH,DONE,2024-05-26 00:14:09.244358+00:00,2024-10-04 11:23:50.807175+00:00
177,733,836,Remain huge thus especially store memory tree discussion executive drop PM expert.,HIGH,CANCELLED,2024-10-23 15:35:53.259304+00:00,2024-06-20 19:50:02.592576+00:00
178,9,767,Per cup itself speak turn keep charge week none develop size near end.,MEDIUM,DONE,2024-03-07 22:20:01.597928+00:00,2025-02-06 07:50:28.162437+00:00
179,389,748,Hold plan space state there man occur brother Congress kind.,LOW,CANCELLED,2024-02-17 04:17:24.982464+00:00,2024-08-27 18:09:39.042334+00:00
