tax_fee_id,hotel_id,name,tax_type,tax_value,created_at
83,3,Rise_a45289,PERCENT,1281.71,2025-11-25 09:56:42+00:00
84,6,Animal_ad32e7,FIXED,663.67,2024-05-22 06:45:59+00:00
85,3,Choice_d2b5c1,FIXED,1079.76,2025-03-03 11:30:42+00:00
86,11,Like_5f6f19,FIXED,869.23,2025-05-30 07:50:04+00:00
87,12,Figure_30b40d,FIXED,1938.51,2024-11-22 18:50:21+00:00
88,10,Knowledge_93389e,FIXED,1341.86,2024-05-30 03:31:02+00:00
89,2,Tree_9bf42b,FIXED,1278.51,2024-02-22 02:20:37+00:00
90,10,Discussion_dfe89a,FIXED,688.12,2025-07-13 15:18:41+00:00
91,7,Skin_122a94,FIXED,317.69,2025-04-02 07:11:00+00:00
92,9,Probably_74949b,PERCENT,1058.15,2024-06-17 03:02:59+00:00
93,6,Somebody_3fde35,PERCENT,1144.29,2024-01-28 05:23:14+00:00
94,11,Price_6d56b9,FIXED,100.09,2024-01-28 14:02:37+00:00
95,12,Action_3ae42f,PERCENT,1352.17,2025-08-10 09:24:36+00:00
96,9,East_3212b4,FIXED,863.57,2024-06-21 13:33:22+00:00
97,4,Free_b823ce,FIXED,1854.56,2025-06-18 06:39:42+00:00
98,11,Within_5a6a28,FIXED,194.76,2025-03-29 01:07:10+00:00
99,11,Raise_8ddc31,PERCENT,1525.52,2024-03-04 02:10:21+00:00
100,2,Herself_597430,FIXED,282.65,2024-05-07 04:35:56+00:00
101,8,Marriage_f2088a,FIXED,1067.07,2024-03-06 18:39:28+00:00
102,1,Sister_8ef921,PERCENT,460.9,2024-09-23 01:54:05+00:00
103,8,Firm_89526b,PERCENT,1711.75,2025-11-09 19:05:24+00:00
104,3,Artist_90e401,FIXED,1515.61,2024-03-18 14:21:58+00:00
105,8,Up_e9ccf2,PERCENT,611.07,2025-08-04 23:50:43+00:00
106,6,From_898b5d,FIXED,1524.79,2024-05-31 18:05:55+00:00
107,7,Third_f1227b,FIXED,1697.93,2024-06-23 03:16:29+00:00
108,2,Food_30bb32,PERCENT,982.77,2025-05-27 20:06:51+00:00
109,9,Production_e4b472,FIXED,218.66,2025-12-11 01:29:51+00:00
110,12,Sea_d0de81,PERCENT,1621.55,2024-12-16 20:29:28+00:00
111,4,Receive_572175,PERCENT,1280.13,2025-02-10 12:00:12+00:00
112,6,Drop_33f238,PERCENT,1720.48,2024-05-25 19:08:06+00:00
113,3,Success_b9a4a2,PERCENT,637.19,2024-10-02 18:45:00+00:00
114,10,Already_df0558,FIXED,516.43,2024-07-15 18:18:42+00:00
115,11,Southern_b46b2b,FIXED,66.85,2024-05-12 20:29:25+00:00
116,12,Although_a463eb,FIXED,961.64,2024-01-21 02:50:05+00:00
117,3,Wall_8d1d6d,FIXED,1810.86,2024-02-02 11:04:56+00:00
118,5,Share_8351f2,FIXED,1701.35,2024-02-06 00:02:48+00:00
119,9,Pretty_4a6daa,PERCENT,1848.32,2025-04-07 08:24:38+00:00
120,12,Become_643e87,PERCENT,867.9,2025-08-08 18:43:12+00:00
121,8,Seek_37e42a,PERCENT,1788.66,2024-07-23 02:52:33+00:00
122,6,Evening_86c665,FIXED,1598.58,2024-04-15 20:04:55+00:00
123,6,Walk_8d6df1,FIXED,379.87,2025-08-16 15:55:36+00:00
124,10,Keep_38afce,PERCENT,937.83,2025-11-29 15:05:58+00:00
125,7,Detail_cb34fa,FIXED,1121.36,2025-08-15 12:53:00+00:00
126,7,Worry_b668d3,FIXED,765.53,2025-04-01 20:02:52+00:00
127,7,Ever_becf69,FIXED,1824.17,2024-01-21 21:36:33+00:00
128,5,Human_ecfa4b,PERCENT,703.75,2025-06-24 11:30:31+00:00
129,5,Very_0e1cc9,FIXED,413.74,2025-01-22 01:08:08+00:00
130,2,Poor_6152c2,FIXED,660.76,2025-01-08 12:26:39+00:00
131,4,Tough_8ca6d2,PERCENT,697.71,2025-07-25 13:41:50+00:00
132,9,Evidence_329ee4,PERCENT,1507.83,2024-05-28 20:36:02+00:00
133,8,Campaign_7556e8,PERCENT,1629.95,2025-02-26 02:16:48+00:00
134,5,Reason_8e5e8d,FIXED,370.09,2024-07-17 14:36:49+00:00
135,12,Risk_d79c12,FIXED,314.59,2025-12-03 22:59:16+00:00
136,1,Individual_946765,PERCENT,1182.38,2024-11-19 00:38:45+00:00
137,11,Certainly_3b3038,FIXED,1154.64,2025-11-27 11:55:56+00:00
138,4,Only_01b528,PERCENT,1004.33,2025-03-07 05:52:01+00:00
139,5,Nice_576692,PERCENT,1074.58,2025-07-24 08:59:36+00:00
140,12,Manage_465f4f,PERCENT,1292.95,2024-03-01 13:40:13+00:00
141,5,Well_6a518f,FIXED,420.15,2024-03-06 11:24:54+00:00
142,4,Church_9494b6,FIXED,1952.6,2025-05-12 01:14:48+00:00
143,4,Argue_8c1883,FIXED,1375.49,2025-08-11 09:57:45+00:00
144,12,Key_0e4b4f,FIXED,1349.72,2025-03-01 15:52:12+00:00
145,9,Room_ce6f0f,PERCENT,1976.41,2025-12-11 21:21:49+00:00
146,6,Call_c4d520,FIXED,1029.01,2025-01-24 01:58:00+00:00
147,7,Memory_ee1723,FIXED,1218.26,2025-05-23 11:59:10+00:00
148,11,Development_75f5a6,PERCENT,363.36,2025-04-03 09:15:28+00:00
149,1,Adult_30388d,FIXED,1870.9,2025-04-21 11:30:11+00:00
150,9,Ball_7cbda2,PERCENT,1065.86,2025-08-16 13:39:18+00:00
151,5,Real_265da1,FIXED,542.18,2025-11-22 20:35:01+00:00
152,10,Figure_90a2eb,FIXED,426.05,2025-07-16 13:24:40+00:00
153,9,Deal_128fdd,PERCENT,1687.62,2025-07-13 14:59:53+00:00
154,7,Travel_e2bea6,PERCENT,1310.17,2025-04-29 05:46:26+00:00
155,12,Agreement_b3dff7,FIXED,765.66,2025-07-10 14:50:46+00:00
156,9,Nearly_cd1fde,PERCENT,106.74,2025-10-29 21:52:24+00:00
157,11,Buy_c11100,FIXED,1020.88,2025-11-05 13:53:25+00:00
158,10,Return_da69b4,FIXED,484.06,2024-05-09 15:30:11+00:00
159,3,Air_8109fd,FIXED,907.65,2025-11-26 18:25:21+00:00
160,7,Former_aa0d85,PERCENT,962.14,2025-12-03 06:10:11+00:00
161,12,Its_32e87e,FIXED,1701.21,2025-02-21 14:15:26+00:00
162,3,Listen_5db3e5,PERCENT,292.14,2025-01-12 02:22:23+00:00
163,2,West_f259d1,PERCENT,1956.25,2025-05-21 17:33:01+00:00
164,10,Kind_9f9bc3,PERCENT,262.97,2025-11-18 10:46:37+00:00
165,10,Travel_91972c,FIXED,1646.47,2024-09-19 03:12:34+00:00
166,12,Cup_8e1dc3,FIXED,412.87,2024-02-02 02:43:31+00:00
167,9,Back_15bb62,FIXED,1553.92,2024-08-13 16:46:45+00:00
168,11,Together_9559b5,PERCENT,662.66,2025-01-13 04:25:19+00:00
169,6,President_0d0fa2,FIXED,134.58,2024-02-01 07:00:25+00:00
170,12,Wish_c5c643,PERCENT,1519.07,2024-08-28 02:18:20+00:00
171,10,Degree_7bc402,FIXED,1037.06,2024-04-09 01:55:54+00:00
172,11,Next_c4a3c1,PERCENT,241.17,2025-10-04 01:52:48+00:00
173,12,Huge_5ae6fe,PERCENT,750.93,2024-08-04 16:44:23+00:00
174,10,Let_daa29f,PERCENT,231.17,2025-06-18 11:33:01+00:00
175,1,Able_0bd8c9,FIXED,812.73,2024-10-12 06:42:38+00:00
176,5,Several_0087b2,FIXED,278.67,2025-06-25 16:46:18+00:00
177,5,Phone_8aa095,PERCENT,158.45,2025-09-07 22:09:47+00:00
178,8,Happy_fe7e75,PERCENT,329.95,2025-01-22 12:14:12+00:00
179,3,Indicate_4ad5dc,PERCENT,147.8,2026-01-06 03:32:31+00:00
180,6,Give_99baa5,PERCENT,1606.69,2024-09-19 09:15:53+00:00
181,7,Will_b6bd7e,PERCENT,1930.63,2024-12-27 13:47:55+00:00
182,12,Fast_ba1c50,PERCENT,1856.97,2025-07-26 08:48:44+00:00
183,4,Enjoy_aef967,PERCENT,914.78,2024-04-11 13:28:09+00:00
184,7,Medical_c9cc12,FIXED,878.2,2025-10-08 13:10:07+00:00
185,2,Mother_d2431c,FIXED,707.6,2024-12-27 05:02:48+00:00
186,1,Now_6e0431,PERCENT,1143.64,2025-03-07 18:54:30+00:00
187,12,Force_b30150,FIXED,1221.13,2025-11-02 23:32:56+00:00
188,2,Institution_e4a2b6,FIXED,1011.6,2024-11-01 04:29:44+00:00
189,11,Project_eb8166,FIXED,1595.34,2024-01-16 21:10:37+00:00
190,11,Any_309893,FIXED,354.44,2024-11-25 08:47:26+00:00
191,5,Low_eda951,PERCENT,1357.08,2024-12-29 01:30:40+00:00
192,7,Save_9f60be,FIXED,1173.11,2024-11-10 02:45:08+00:00
193,8,That_f72a01,PERCENT,885.06,2024-06-30 21:50:11+00:00
194,4,Now_8046b2,PERCENT,992.19,2024-01-25 10:36:45+00:00
195,12,Race_1c8b39,PERCENT,499.97,2024-10-30 19:00:46+00:00
196,8,Soon_9bf48a,FIXED,1161.75,2025-03-30 13:57:52+00:00
197,9,Blue_8cb9a1,PERCENT,597.03,2025-04-22 02:53:43+00:00
198,3,Red_5820f9,FIXED,410.99,2024-10-02 21:24:51+00:00
199,8,Number_28a581,PERCENT,1831.2,2024-10-20 22:44:24+00:00
200,3,Theory_8e5d51,PERCENT,81.82,2025-09-20 23:49:29+00:00
201,3,Including_282d40,PERCENT,299.58,2024-07-20 12:40:16+00:00
202,9,Apply_31c0d8,PERCENT,1455.01,2024-08-08 22:58:59+00:00
203,9,Participant_98921c,PERCENT,1852.17,2025-11-02 17:04:08+00:00
204,12,Huge_012ad5,PERCENT,148.56,2024-07-05 21:35:12+00:00
205,7,Southern_fdb90d,FIXED,119.65,2025-10-03 17:43:16+00:00
206,3,Sure_11537d,FIXED,1707.41,2024-06-12 12:23:41+00:00
207,7,Study_ed71af,PERCENT,1879.01,2024-07-14 19:24:05+00:00
208,7,Opportunity_ca9f9d,PERCENT,814.79,2025-11-21 01:02:51+00:00
209,8,Bad_d4fe0f,FIXED,526.78,2025-07-15 09:41:34+00:00
210,8,Approach_6cd7e9,FIXED,1524.11,2024-10-03 09:29:51+00:00
211,4,Coach_12405d,FIXED,681.38,2025-05-18 22:20:28+00:00
212,2,Miss_6b09a9,PERCENT,915.41,2025-08-28 15:59:40+00:00
213,4,Mr_8a9ccc,PERCENT,1209.87,2025-02-10 17:14:16+00:00
214,10,Cold_e01e37,FIXED,1676.38,2024-06-10 12:19:57+00:00
215,3,Article_88dbbf,FIXED,1764.37,2025-07-06 13:03:11+00:00
216,5,Draw_77479f,FIXED,392.27,2024-12-23 03:51:02+00:00
217,4,Happen_a396cb,FIXED,45.97,2024-03-22 20:20:00+00:00
218,9,Bar_93312f,FIXED,174.8,2024-02-16 15:36:05+00:00
219,11,On_ccd499,FIXED,1103.63,2024-08-07 08:13:33+00:00
220,2,Happen_947927,FIXED,1609.63,2026-01-06 19:32:54+00:00
221,12,Situation_781965,FIXED,862.45,2024-06-07 09:15:37+00:00
222,12,Whom_f6d2a1,FIXED,330.16,2025-10-12 08:05:14+00:00
223,4,Weight_6447d0,FIXED,1039.07,2024-08-04 18:02:59+00:00
224,2,North_8927f4,PERCENT,1659.94,2024-05-30 15:28:07+00:00
225,6,Success_773344,PERCENT,938.99,2025-06-19 06:35:55+00:00
226,6,Where_52eb4c,FIXED,280.7,2025-07-24 04:42:45+00:00
227,2,Expert_2b107f,PERCENT,1461.63,2024-11-28 16:16:32+00:00
228,7,Perhaps_886010,FIXED,115.96,2024-01-24 08:29:14+00:00
229,6,Image_776632,FIXED,549.78,2024-08-18 22:25:04+00:00
230,6,Worry_ceab24,PERCENT,965.19,2025-07-13 09:48:33+00:00
231,8,Plant_8ddb86,PERCENT,1030.75,2024-04-26 07:11:00+00:00
232,10,Family_b75f0b,FIXED,356.9,2025-04-22 13:58:29+00:00
233,5,Support_9439b3,PERCENT,1629.23,2024-02-15 16:53:28+00:00
234,9,Series_574e61,PERCENT,1459.25,2024-08-20 11:58:53+00:00
235,11,Recent_a44819,FIXED,1643.46,2024-08-13 19:03:08+00:00
236,11,Article_2c127b,FIXED,1390.77,2025-07-01 15:08:43+00:00
237,5,Mean_eb96c0,FIXED,993.45,2024-12-24 22:47:39+00:00
238,2,Early_552336,FIXED,1716.12,2025-06-23 16:22:06+00:00
239,12,Thus_4d056b,FIXED,247.53,2024-07-18 18:19:31+00:00
240,12,Fear_b0ce44,FIXED,510.01,2025-03-08 20:57:19+00:00
241,1,Left_b15c9a,PERCENT,419.53,2025-08-14 23:32:44+00:00
242,4,Thank_8a139a,FIXED,791.11,2025-06-13 14:56:10+00:00
243,1,Seven_d07c0d,FIXED,1559.89,2024-08-13 10:17:19+00:00
244,10,Show_ce22d5,PERCENT,967.07,2024-08-14 09:42:02+00:00
245,12,Stuff_114d6f,PERCENT,1006.15,2024-05-28 13:21:45+00:00
246,2,Ever_4b994f,FIXED,1338.85,2024-10-09 20:04:31+00:00
247,3,Color_45881b,FIXED,900.56,2025-12-11 16:12:01+00:00
248,8,Husband_26e4dd,FIXED,1640.67,2024-07-10 17:21:44+00:00
249,7,Attorney_f85f23,PERCENT,309.4,2024-11-04 23:30:46+00:00
250,12,Enjoy_eb3a37,FIXED,557.36,2025-06-28 16:06:17+00:00
251,10,Strategy_b4339f,FIXED,1336.7,2025-09-17 10:04:30+00:00
252,12,Degree_bfad99,PERCENT,703.36,2025-09-23 01:40:34+00:00
253,8,Hope_b559ab,PERCENT,1696.53,2024-04-26 22:30:36+00:00
254,2,Somebody_517842,FIXED,1263.76,2024-10-06 00:06:37+00:00
255,12,Wonder_5993be,FIXED,1874.67,2024-03-13 05:24:18+00:00
256,3,Participant_18fc47,FIXED,830.77,2024-02-11 17:11:18+00:00
257,11,Mr_6aa2fe,FIXED,1552.65,2024-11-28 02:07:02+00:00
258,3,Money_025cfd,FIXED,1485.01,2025-08-24 19:38:17+00:00
259,9,Deep_019c31,FIXED,864.48,2024-07-04 13:45:25+00:00
260,2,Fear_2d05c7,PERCENT,621.86,2024-02-18 21:00:38+00:00
261,11,Measure_c80712,FIXED,427.75,2024-09-02 03:49:39+00:00
262,12,Focus_7d84ae,FIXED,667.64,2025-05-07 13:25:36+00:00
263,3,Risk_1c4261,PERCENT,467.35,2024-12-14 01:33:00+00:00
264,3,Assume_e96acc,PERCENT,125.39,2024-04-11 14:34:01+00:00
265,6,Miss_976ef3,PERCENT,284.73,2025-09-21 07:11:12+00:00
266,3,Term_d9a898,FIXED,1781.43,2024-02-21 00:20:00+00:00
267,11,True_92520b,PERCENT,178.73,2025-10-17 23:08:29+00:00
268,6,Big_9c2837,PERCENT,1600.59,2024-11-14 07:25:50+00:00
269,1,Cost_669c84,PERCENT,684.05,2025-10-19 21:25:04+00:00
270,11,Employee_b5c480,FIXED,1681.74,2025-08-16 12:19:39+00:00
271,6,Effort_2bf386,FIXED,1363.64,2024-12-30 18:41:26+00:00
272,7,Ahead_7f4c98,PERCENT,273.13,2025-09-10 00:40:06+00:00
273,2,Suddenly_78f610,FIXED,1032.26,2024-10-25 11:58:56+00:00
274,9,Month_55f50b,PERCENT,77.57,2024-05-30 21:32:45+00:00
275,10,Customer_00a19a,FIXED,848.66,2024-11-29 04:26:41+00:00
276,11,Rise_085d24,FIXED,848.41,2024-11-24 20:08:02+00:00
277,2,Might_cb6755,FIXED,1781.42,2024-12-31 07:37:59+00:00
278,7,Pressure_d5341c,PERCENT,521.93,2025-09-23 11:38:18+00:00
279,3,Score_ca4e15,PERCENT,1916.29,2025-02-26 13:52:05+00:00
280,12,Notice_9d8d7c,PERCENT,1702.07,2025-04-24 11:36:12+00:00
281,3,Beat_f7af50,PERCENT,1231.27,2024-02-08 12:50:41+00:00
282,12,Watch_63f63b,PERCENT,1125.23,2025-11-03 07:38:55+00:00
283,8,Hope_0c1f81,PERCENT,1169.59,2025-03-18 10:25:37+00:00
284,6,Be_f8c94d,PERCENT,766.42,2025-03-23 02:42:23+00:00
285,2,Travel_c94f2d,PERCENT,1398.77,2024-11-15 19:12:13+00:00
286,7,Present_bb53c3,PERCENT,505.36,2024-03-09 03:59:35+00:00
287,9,Personal_60fd07,PERCENT,106.77,2025-12-14 05:36:46+00:00
288,6,Top_8bedd6,PERCENT,1366.96,2025-08-24 10:47:57+00:00
289,2,Door_0e531b,FIXED,788.01,2024-06-28 14:17:42+00:00
290,8,Policy_b0f427,FIXED,1937.78,2025-04-08 10:29:20+00:00
291,5,Nice_b40f6a,PERCENT,1866.06,2025-06-15 20:47:43+00:00
292,4,So_5c23fb,PERCENT,142.85,2025-02-14 12:01:58+00:00
293,4,Fill_fa28cb,FIXED,1642.07,2025-08-11 15:44:35+00:00
294,6,Brother_6b2a24,PERCENT,1049.59,2025-11-08 11:31:38+00:00
295,10,Yourself_e5e1f0,FIXED,1955.59,2024-11-26 02:31:40+00:00
296,10,Worry_72d6cf,FIXED,749.43,2025-07-29 00:14:43+00:00
297,6,Middle_b4d6fe,FIXED,1807.83,2024-04-06 09:14:36+00:00
298,8,Beat_c34754,PERCENT,284.3,2025-09-11 12:38:28+00:00
299,7,Bill_06cae7,PERCENT,1332.04,2024-01-22 22:54:17+00:00
300,2,Local_8a5926,FIXED,1253.67,2025-11-12 19:52:40+00:00
301,8,Believe_6c48ab,PERCENT,156.97,2025-08-08 23:13:15+00:00
302,7,The_4ab5d4,PERCENT,1043.62,2025-05-12 16:52:50+00:00
303,3,Rather_ec90c9,PERCENT,281.5,2025-09-19 10:26:21+00:00
304,10,May_5319b2,FIXED,552.4,2024-04-28 00:00:26+00:00
305,3,Cultural_e33d50,PERCENT,966.57,2025-07-19 21:28:37+00:00
306,5,Who_6a6a35,PERCENT,160.54,2024-07-19 04:06:31+00:00
307,8,Break_02307e,FIXED,840.83,2024-06-04 09:36:57+00:00
308,11,Agreement_e4a017,FIXED,35.85,2024-08-28 16:27:57+00:00
309,3,None_1834c3,PERCENT,1355.47,2024-07-01 22:05:13+00:00
310,7,Save_9f2f04,PERCENT,1094.28,2025-04-24 00:15:09+00:00
311,9,Each_86e6ed,PERCENT,580.12,2024-05-11 08:55:46+00:00
312,8,This_b14f64,FIXED,809.07,2024-10-13 20:02:08+00:00
313,7,No_682997,PERCENT,483.08,2025-07-06 00:19:54+00:00
314,10,Important_b2811b,FIXED,1811.31,2025-03-21 17:44:04+00:00
315,10,Son_4f9a8e,PERCENT,922.11,2025-08-22 10:56:44+00:00
316,7,Minute_100fae,PERCENT,1995.07,2025-06-17 06:01:23+00:00
317,9,Anything_dfbd92,PERCENT,187.88,2024-02-15 03:04:27+00:00
318,2,Charge_138b65,FIXED,947.34,2024-01-18 08:40:47+00:00
319,11,Soldier_c8908c,FIXED,537.69,2025-03-25 03:32:13+00:00
320,10,Series_63c624,PERCENT,597.71,2025-11-08 21:16:31+00:00
321,7,Edge_f7cc65,PERCENT,1066.41,2025-10-17 16:49:46+00:00
322,4,Collection_c25271,FIXED,1132.05,2025-01-09 17:18:24+00:00
323,1,Rather_5d0824,PERCENT,1578.23,2024-04-06 05:27:59+00:00
324,11,Report_e4000f,PERCENT,276.95,2024-09-08 00:12:00+00:00
325,11,Today_ff1135,PERCENT,1847.84,2025-12-13 14:08:32+00:00
326,7,Until_22c4cc,PERCENT,215.43,2025-04-22 17:40:01+00:00
327,7,Cup_be8182,FIXED,161.43,2024-05-19 17:52:00+00:00
328,6,Sense_5ef7fd,PERCENT,65.09,2024-11-20 23:05:08+00:00
329,9,Ability_356e3f,FIXED,425.3,2024-05-10 04:53:27+00:00
330,11,War_1d9def,FIXED,1845.2,2025-03-14 21:22:26+00:00
331,6,Pick_d1a9ea,FIXED,375.1,2025-02-22 21:28:38+00:00
332,2,The_7f4c11,PERCENT,1489.25,2025-12-05 11:16:44+00:00
333,5,Despite_cbd0f8,FIXED,81.31,2024-06-19 23:37:37+00:00
334,12,Strong_564ba0,FIXED,451.33,2024-03-09 04:09:56+00:00
335,2,Try_fc82d9,FIXED,524.94,2025-09-11 10:47:50+00:00
336,10,Their_f2532b,FIXED,1143.35,2024-10-05 10:18:56+00:00
337,5,Generation_0aa96f,FIXED,837.99,2025-01-26 15:49:35+00:00
338,9,Style_6ee619,FIXED,880.33,2024-06-22 13:25:43+00:00
339,7,Road_08e420,PERCENT,318.02,2025-01-10 17:26:42+00:00
340,4,Quite_b72bea,PERCENT,1605.68,2025-06-10 13:46:37+00:00
341,10,Time_308aed,FIXED,1374.56,2024-04-09 01:03:39+00:00
342,4,Purpose_f3095f,FIXED,1854.1,2025-11-27 02:17:37+00:00
343,11,Support_fe0b0f,FIXED,1978.54,2024-01-17 23:55:35+00:00
344,6,Data_c40a7c,PERCENT,982.19,2025-10-04 15:28:40+00:00
345,6,Usually_e7439e,PERCENT,1024.97,2025-01-05 15:37:14+00:00
346,5,Forget_5e0ce9,FIXED,33.49,2024-04-30 08:32:17+00:00
347,9,Security_6bd773,FIXED,1243.29,2025-08-10 03:02:36+00:00
348,8,Significant_866be6,FIXED,96.12,2025-03-21 13:20:34+00:00
349,6,Federal_318ed1,FIXED,735.7,2025-08-16 18:55:57+00:00
