service_order_id,booking_id,order_status,ordered_at,created_at
24,32551,ORDERED,2024-12-28 21:44:53+00:00,2025-06-20 00:44:03+00:00
25,20792,CANCELLED,2025-05-27 13:07:47+00:00,2025-08-28 01:20:51+00:00
26,12523,CANCELLED,2024-02-23 20:52:26+00:00,2025-10-11 17:41:32+00:00
27,45281,CANCELLED,2025-01-26 20:04:36+00:00,2025-01-28 21:35:32+00:00
28,55141,ORDERED,2024-04-04 17:10:10+00:00,2024-07-25 00:10:55+00:00
29,32581,ORDERED,2025-07-28 16:04:28+00:00,2024-01-24 21:47:50+00:00
30,34272,CANCELLED,2025-06-14 07:17:43+00:00,2025-07-18 02:53:36+00:00
31,24214,CANCELLED,2025-11-22 02:32:46+00:00,2025-09-29 23:48:31+00:00
32,638,DELIVERED,2024-08-12 04:46:18+00:00,2024-02-26 02:38:30+00:00
33,25008,CANCELLED,2025-02-02 14:34:20+00:00,2025-07-26 11:35:04+00:00
34,26720,DELIVERED,2024-01-26 19:26:27+00:00,2025-02-24 14:47:58+00:00
35,53350,CANCELLED,2025-06-18 00:55:39+00:00,2025-06-23 13:01:53+00:00
36,17230,ORDERED,2025-05-07 09:43:47+00:00,2024-12-20 08:17:51+00:00
37,5450,DELIVERED,2024-05-09 21:03:11+00:00,2025-10-01 12:58:36+00:00
38,66751,CANCELLED,2025-12-06 00:12:06+00:00,2026-01-04 21:47:06+00:00
39,51799,ORDERED,2024-09-12 18:17:53+00:00,2024-03-14 11:50:13+00:00
40,66514,CANCELLED,2024-12-15 05:03:59+00:00,2024-05-21 05:59:00+00:00
41,67634,DELIVERED,2025-01-04 20:20:02+00:00,2024-02-24 23:42:20+00:00
42,15207,DELIVERED,2025-08-16 09:22:16+00:00,2024-12-02 01:46:17+00:00
43,68488,CANCELLED,2024-10-02 18:34:02+00:00,2024-11-26 09:01:30+00:00
44,30988,ORDERED,2024-08-14 16:51:42+00:00,2025-05-25 06:49:40+00:00
45,6182,CANCELLED,2024-12-28 04:18:43+00:00,2024-12-20 00:19:04+00:00
46,39819,DELIVERED,2024-07-05 11:16:48+00:00,2024-08-07 02:27:28+00:00
47,3828,ORDERED,2024-06-29 22:39:13+00:00,2025-12-11 14:40:38+00:00
48,43655,DELIVERED,2025-06-15 07:55:08+00:00,2025-05-23 10:09:58+00:00
49,59983,CANCELLED,2025-09-30 17:42:10+00:00,2025-09-03 11:29:51+00:00
50,21708,CANCELLED,2025-01-31 20:15:05+00:00,2024-11-07 13:27:15+00:00
51,55802,DELIVERED,2024-01-16 07:17:00+00:00,2024-07-02 04:01:06+00:00
52,51571,CANCELLED,2024-04-23 22:30:51+00:00,2024-12-17 22:31:10+00:00
53,17805,DELIVERED,2024-09-01 21:00:29+00:00,2024-10-30 09:21:49+00:00
54,32203,CANCELLED,2025-11-06 23:53:55+00:00,2024-01-30 17:39:04+00:00
55,59244,ORDERED,2024-12-30 19:55:37+00:00,2024-12-23 14:16:13+00:00
56,21461,DELIVERED,2025-01-09 04:42:02+00:00,2025-07-30 00:07:57+00:00
57,608,ORDERED,2024-04-14 18:31:14+00:00,2024-06-20 23:34:19+00:00
58,27259,DELIVERED,2025-08-29 12:23:50+00:00,2025-06-29 05:08:25+00:00
59,43870,DELIVERED,2025-06-01 18:52:10+00:00,2024-04-21 15:07:20+00:00
60,46228,DELIVERED,2024-05-26 02:57:20+00:00,2024-06-28 09:40:11+00:00
61,54799,ORDERED,2024-12-09 08:00:29+00:00,2025-07-20 12:50:17+00:00
62,53228,CANCELLED,2025-05-08 23:44:27+00:00,2024-03-26 13:42:30+00:00
63,32210,CANCELLED,2024-09-16 03:23:34+00:00,2024-06-29 22:51:39+00:00
64,67171,DELIVERED,2024-02-23 12:58:33+00:00,2025-10-09 10:38:44+00:00
65,8643,ORDERED,2025-11-04 02:03:14+00:00,2024-11-24 03:59:28+00:00
66,23513,CANCELLED,2024-08-15 10:14:07+00:00,2025-10-31 14:59:27+00:00
67,34261,ORDERED,2024-09-23 23:01:03+00:00,2024-07-20 13:37:16+00:00
68,51973,CANCELLED,2025-03-26 03:22:24+00:00,2025-10-18 21:03:40+00:00
69,46708,DELIVERED,2025-07-15 11:37:50+00:00,2024-09-14 06:28:20+00:00
70,6977,DELIVERED,2025-11-03 20:02:33+00:00,2024-11-10 22:00:46+00:00
71,53733,DELIVERED,2024-05-30 19:25:26+00:00,2025-05-31 05:56:50+00:00
72,51567,DELIVERED,2025-11-19 05:53:54+00:00,2024-12-28 16:30:15+00:00
73,64891,ORDERED,2024-05-15 15:29:16+00:00,2024-07-20 18:26:15+00:00
74,12279,CANCELLED,2025-08-27 08:45:07+00:00,2025-06-29 23:40:12+00:00
75,26186,CANCELLED,2024-06-27 11:09:09+00:00,2026-01-01 01:12:43+00:00
76,62360,DELIVERED,2025-12-10 11:02:45+00:00,2025-07-05 22:52:35+00:00
77,31351,DELIVERED,2025-12-18 14:56:26+00:00,2024-03-30 03:23:38+00:00
78,49349,CANCELLED,2024-05-01 12:45:20+00:00,2025-04-05 08:08:51+00:00
79,4174,ORDERED,2025-05-26 23:18:48+00:00,2024-12-31 23:43:06+00:00
80,17316,DELIVERED,2024-11-08 21:20:41+00:00,2025-01-22 22:03:26+00:00
81,40665,CANCELLED,2024-07-17 12:59:49+00:00,2024-02-21 12:57:06+00:00
82,33011,DELIVERED,2024-09-10 14:57:44+00:00,2024-04-12 05:06:58+00:00
83,61593,ORDERED,2024-08-26 02:42:29+00:00,2024-06-20 01:14:47+00:00
84,21069,ORDERED,2024-02-08 15:10:12+00:00,2024-04-14 20:01:12+00:00
85,5505,ORDERED,2026-01-02 08:22:35+00:00,2025-05-04 02:20:00+00:00
86,57704,ORDERED,2025-12-28 22:51:13+00:00,2024-10-26 07:28:31+00:00
87,14859,CANCELLED,2024-07-25 17:32:48+00:00,2024-07-15 13:28:29+00:00
88,40131,CANCELLED,2025-12-18 11:44:17+00:00,2025-11-23 19:53:17+00:00
89,17399,ORDERED,2025-01-13 05:05:32+00:00,2025-10-21 13:10:18+00:00
90,43455,ORDERED,2025-10-14 07:45:07+00:00,2024-09-06 21:52:32+00:00
91,45299,ORDERED,2024-02-01 08:11:58+00:00,2024-10-09 14:08:43+00:00
92,3154,DELIVERED,2025-08-01 05:30:37+00:00,2024-02-14 19:05:13+00:00
93,62608,DELIVERED,2025-06-09 10:44:29+00:00,2025-04-05 00:41:10+00:00
94,15118,ORDERED,2024-09-06 06:50:51+00:00,2025-12-13 12:00:39+00:00
95,56305,DELIVERED,2024-05-04 16:31:45+00:00,2025-09-07 19:07:09+00:00
96,22866,ORDERED,2024-05-23 22:15:28+00:00,2025-09-29 02:41:08+00:00
97,12401,DELIVERED,2024-07-17 17:08:09+00:00,2025-10-13 10:24:30+00:00
98,20600,ORDERED,2024-02-13 14:39:00+00:00,2025-02-22 11:53:46+00:00
99,17758,DELIVERED,2024-06-29 04:02:28+00:00,2025-10-14 16:21:23+00:00
100,62011,DELIVERED,2025-10-20 02:09:36+00:00,2025-04-10 07:36:01+00:00
101,18861,DELIVERED,2025-09-05 04:49:51+00:00,2024-12-25 05:59:20+00:00
102,67111,ORDERED,2024-04-15 22:37:05+00:00,2025-03-26 00:46:28+00:00
103,60612,ORDERED,2025-06-11 10:53:54+00:00,2024-05-27 06:10:23+00:00
104,23661,CANCELLED,2025-07-06 17:16:41+00:00,2024-10-11 09:58:29+00:00
105,55671,DELIVERED,2024-01-17 07:14:19+00:00,2024-02-01 09:14:33+00:00
106,45468,DELIVERED,2025-11-05 21:01:00+00:00,2024-01-24 15:13:35+00:00
107,57688,DELIVERED,2025-05-12 02:46:07+00:00,2024-03-29 19:45:47+00:00
108,12442,CANCELLED,2024-04-07 07:34:45+00:00,2025-02-11 01:22:52+00:00
109,7633,DELIVERED,2024-02-03 05:27:50+00:00,2025-10-26 23:25:41+00:00
110,64091,ORDERED,2025-08-06 08:14:35+00:00,2024-01-29 23:49:58+00:00
111,49549,CANCELLED,2025-10-13 21:00:47+00:00,2024-06-06 20:39:27+00:00
112,8378,ORDERED,2024-06-27 02:09:03+00:00,2024-06-17 03:13:02+00:00
113,64372,ORDERED,2025-09-28 20:36:36+00:00,2024-04-27 09:22:05+00:00
114,33560,DELIVERED,2025-02-21 12:49:56+00:00,2024-01-19 19:49:28+00:00
115,65397,DELIVERED,2025-05-19 16:13:14+00:00,2024-03-26 07:36:10+00:00
116,43931,CANCELLED,2025-07-02 04:55:52+00:00,2024-10-16 16:24:10+00:00
117,64430,DELIVERED,2024-07-21 15:18:53+00:00,2024-12-01 06:12:55+00:00
118,7428,DELIVERED,2025-10-27 00:17:10+00:00,2025-04-20 08:59:28+00:00
119,40532,DELIVERED,2025-11-26 04:46:05+00:00,2025-12-20 23:57:40+00:00
120,28282,ORDERED,2025-05-13 22:13:26+00:00,2025-11-21 04:26:45+00:00
121,34166,CANCELLED,2024-11-27 08:21:41+00:00,2024-02-13 22:50:05+00:00
122,37976,DELIVERED,2025-10-27 11:16:01+00:00,2025-07-10 12:37:07+00:00
123,26870,DELIVERED,2024-07-19 10:13:47+00:00,2024-12-04 20:08:54+00:00
124,25444,DELIVERED,2025-11-02 03:37:57+00:00,2024-02-28 16:59:29+00:00
125,60520,DELIVERED,2024-09-05 01:12:09+00:00,2024-10-14 04:00:49+00:00
126,48123,ORDERED,2025-01-12 10:40:13+00:00,2025-05-12 22:52:39+00:00
127,58614,ORDERED,2024-08-28 11:33:56+00:00,2024-05-30 20:06:18+00:00
128,66652,ORDERED,2024-10-20 12:09:37+00:00,2024-12-05 13:55:04+00:00
129,48260,CANCELLED,2024-01-17 19:03:00+00:00,2024-07-24 08:58:25+00:00
130,42998,CANCELLED,2024-06-22 06:21:21+00:00,2025-03-22 05:39:03+00:00
131,64385,DELIVERED,2025-04-28 00:35:54+00:00,2024-10-06 22:48:37+00:00
132,27941,CANCELLED,2024-07-19 03:52:04+00:00,2025-12-31 15:35:21+00:00
133,12725,ORDERED,2025-11-26 06:44:48+00:00,2024-11-01 05:36:05+00:00
134,67465,CANCELLED,2025-12-04 04:31:32+00:00,2025-03-16 17:05:27+00:00
135,40892,DELIVERED,2024-12-24 08:07:27+00:00,2024-11-14 02:46:53+00:00
136,36210,CANCELLED,2025-06-23 11:45:03+00:00,2024-11-25 21:02:46+00:00
137,47490,ORDERED,2024-10-09 15:10:57+00:00,2024-08-13 04:51:51+00:00
138,31454,ORDERED,2024-05-06 03:37:25+00:00,2024-02-19 08:42:50+00:00
139,7226,ORDERED,2024-05-24 17:29:56+00:00,2025-11-01 18:16:31+00:00
140,67845,ORDERED,2024-06-13 21:34:51+00:00,2025-02-06 17:38:24+00:00
141,63167,CANCELLED,2024-08-31 09:33:01+00:00,2025-11-21 12:44:36+00:00
142,729,DELIVERED,2026-01-03 04:09:54+00:00,2024-02-26 13:30:22+00:00
143,44522,ORDERED,2024-06-22 13:30:34+00:00,2025-03-16 15:16:30+00:00
144,56039,DELIVERED,2024-06-09 19:47:46+00:00,2024-08-18 00:18:48+00:00
145,53801,CANCELLED,2024-01-18 08:34:38+00:00,2024-01-20 22:11:43+00:00
146,66169,CANCELLED,2026-01-07 00:28:51+00:00,2025-02-18 06:11:41+00:00
147,27997,DELIVERED,2025-07-31 00:13:43+00:00,2025-05-05 04:04:18+00:00
148,40515,DELIVERED,2025-01-07 04:13:31+00:00,2025-02-25 19:11:54+00:00
149,27691,ORDERED,2025-06-16 11:37:39+00:00,2024-03-18 01:04:45+00:00
150,33007,ORDERED,2024-05-12 07:34:40+00:00,2025-08-17 15:36:44+00:00
151,50793,ORDERED,2024-12-04 05:07:51+00:00,2025-04-15 06:27:53+00:00
152,56465,ORDERED,2025-06-23 18:37:33+00:00,2025-07-14 19:06:13+00:00
153,47009,CANCELLED,2025-04-07 16:57:46+00:00,2026-01-01 15:39:54+00:00
154,39248,ORDERED,2025-03-06 18:55:48+00:00,2024-05-18 21:53:53+00:00
155,51411,DELIVERED,2024-11-02 09:19:49+00:00,2025-06-27 08:42:36+00:00
156,44694,DELIVERED,2024-01-14 18:34:02+00:00,2024-11-19 16:55:43+00:00
157,38123,DELIVERED,2024-10-21 23:14:49+00:00,2024-05-25 22:18:09+00:00
158,20157,CANCELLED,2024-05-08 13:41:40+00:00,2025-04-24 03:39:27+00:00
159,56650,CANCELLED,2024-07-16 10:04:53+00:00,2025-07-11 13:47:25+00:00
160,2756,CANCELLED,2025-02-09 06:25:11+00:00,2024-08-09 10:40:41+00:00
161,4962,CANCELLED,2025-03-24 05:06:18+00:00,2025-07-12 23:25:10+00:00
162,18789,DELIVERED,2024-02-03 02:32:42+00:00,2025-03-26 05:43:11+00:00
163,48126,DELIVERED,2024-08-18 14:18:59+00:00,2026-01-04 02:32:10+00:00
164,49034,CANCELLED,2024-07-05 07:27:03+00:00,2025-08-15 23:22:32+00:00
165,25781,DELIVERED,2025-11-06 12:07:24+00:00,2025-01-23 14:35:35+00:00
166,9041,ORDERED,2025-05-01 07:48:11+00:00,2025-03-26 13:41:19+00:00
167,62440,DELIVERED,2025-08-06 06:04:10+00:00,2025-12-01 04:02:08+00:00
168,63557,CANCELLED,2024-03-15 01:30:32+00:00,2024-02-17 10:21:56+00:00
169,3866,CANCELLED,2024-12-05 15:24:07+00:00,2025-07-19 00:01:21+00:00
170,23684,CANCELLED,2025-04-09 06:58:18+00:00,2026-01-07 16:00:57+00:00
171,42458,CANCELLED,2025-12-01 01:41:42+00:00,2024-05-31 03:42:01+00:00
172,50310,ORDERED,2025-09-09 23:19:22+00:00,2024-04-18 21:29:36+00:00
173,30072,DELIVERED,2025-03-28 03:15:26+00:00,2024-04-12 01:44:39+00:00
174,43327,DELIVERED,2024-07-28 08:25:26+00:00,2025-05-14 23:09:37+00:00
175,51558,DELIVERED,2025-09-30 09:37:15+00:00,2024-10-27 17:46:34+00:00
176,35044,DELIVERED,2025-02-05 09:52:01+00:00,2025-09-13 03:24:44+00:00
177,51163,ORDERED,2025-11-17 12:53:28+00:00,2025-11-26 11:50:41+00:00
178,58300,DELIVERED,2025-10-10 08:44:09+00:00,2025-02-02 17:04:46+00:00
179,4022,DELIVERED,2024-09-14 16:07:02+00:00,2025-08-14 04:13:04+00:00
180,15805,CANCELLED,2024-12-14 15:48:21+00:00,2024-12-09 04:17:13+00:00
181,19290,ORDERED,2025-09-22 20:49:14+00:00,2025-08-08 10:31:13+00:00
182,66097,DELIVERED,2024-01-29 09:44:59+00:00,2024-01-23 23:24:05+00:00
183,26006,DELIVERED,2025-04-06 14:55:40+00:00,2024-03-10 08:16:30+00:00
184,38542,DELIVERED,2024-12-17 16:55:43+00:00,2024-11-08 05:05:08+00:00
185,9915,CANCELLED,2025-10-27 05:41:03+00:00,2024-10-22 19:19:30+00:00
186,58725,CANCELLED,2025-05-16 04:50:16+00:00,2024-09-23 04:16:01+00:00
187,4736,ORDERED,2025-07-08 00:18:36+00:00,2025-10-27 12:13:22+00:00
188,33776,ORDERED,2024-02-10 09:55:41+00:00,2024-11-11 20:25:07+00:00
189,35336,CANCELLED,2025-05-26 12:48:07+00:00,2024-03-07 01:29:56+00:00
190,43670,CANCELLED,2024-01-22 23:11:40+00:00,2024-01-29 18:22:23+00:00
191,36098,CANCELLED,2024-05-11 18:42:21+00:00,2025-11-06 16:20:04+00:00
192,26310,DELIVERED,2026-01-01 06:20:17+00:00,2024-04-04 20:30:46+00:00
193,25846,DELIVERED,2024-08-11 13:47:55+00:00,2024-01-30 02:00:14+00:00
194,40454,ORDERED,2024-11-25 18:40:08+00:00,2024-07-28 00:45:48+00:00
195,10601,ORDERED,2025-05-18 20:46:15+00:00,2024-12-02 05:05:14+00:00
196,62200,CANCELLED,2024-12-01 04:10:04+00:00,2024-06-02 03:39:07+00:00
197,62804,ORDERED,2024-12-15 00:19:42+00:00,2024-07-02 12:51:18+00:00
198,701,ORDERED,2024-03-03 17:01:16+00:00,2024-10-29 18:52:55+00:00
199,61407,ORDERED,2024-01-20 03:03:08+00:00,2024-10-30 09:13:56+00:00
200,59467,CANCELLED,2024-05-19 03:02:01+00:00,2025-04-08 14:22:17+00:00
201,3346,DELIVERED,2024-12-09 16:16:21+00:00,2024-04-24 13:18:13+00:00
202,14803,DELIVERED,2026-01-04 01:09:27+00:00,2024-09-12 17:53:05+00:00
203,42673,CANCELLED,2025-04-27 19:40:59+00:00,2024-08-15 15:25:43+00:00
204,7560,CANCELLED,2024-10-19 16:15:31+00:00,2025-03-16 07:54:41+00:00
205,537,CANCELLED,2024-08-28 06:49:44+00:00,2025-11-16 01:05:54+00:00
206,45545,CANCELLED,2024-04-09 23:20:03+00:00,2024-12-31 14:38:09+00:00
207,37002,ORDERED,2025-02-26 18:07:06+00:00,2024-06-05 00:04:24+00:00
208,15669,DELIVERED,2025-08-09 13:39:30+00:00,2025-10-06 10:48:23+00:00
209,15286,DELIVERED,2024-08-05 07:18:06+00:00,2025-02-10 17:13:04+00:00
210,20510,ORDERED,2025-03-28 11:13:16+00:00,2025-12-29 18:05:06+00:00
211,45400,CANCELLED,2024-04-13 21:55:48+00:00,2024-04-02 07:14:13+00:00
212,42581,CANCELLED,2024-05-20 17:48:46+00:00,2024-03-31 11:05:24+00:00
213,3375,CANCELLED,2025-01-26 14:51:53+00:00,2025-06-03 11:27:04+00:00
214,26829,CANCELLED,2024-08-21 08:00:30+00:00,2024-04-22 04:56:52+00:00
215,23449,CANCELLED,2025-11-19 03:39:21+00:00,2025-09-15 00:40:41+00:00
216,53279,CANCELLED,2024-11-24 03:08:41+00:00,2025-02-02 17:04:41+00:00
217,11003,ORDERED,2025-09-02 07:26:48+00:00,2025-07-24 09:46:18+00:00
218,25614,ORDERED,2024-07-11 03:36:19+00:00,2024-01-28 05:52:30+00:00
219,63554,DELIVERED,2025-09-15 21:17:18+00:00,2025-05-10 03:38:21+00:00
220,66660,ORDERED,2025-04-21 07:21:37+00:00,2025-04-15 11:56:43+00:00
221,68689,DELIVERED,2025-10-21 04:27:03+00:00,2024-10-01 16:13:58+00:00
222,38178,ORDERED,2025-07-07 12:13:14+00:00,2024-12-16 15:30:10+00:00
223,2431,CANCELLED,2025-08-25 13:27:58+00:00,2024-06-23 02:00:23+00:00
224,14831,DELIVERED,2024-05-17 20:50:38+00:00,2024-02-22 11:18:29+00:00
225,67088,ORDERED,2024-07-29 12:08:42+00:00,2025-04-08 07:01:49+00:00
226,50333,CANCELLED,2024-10-10 04:23:53+00:00,2024-03-14 12:36:17+00:00
227,33666,ORDERED,2025-04-17 21:37:44+00:00,2025-10-19 10:14:21+00:00
228,25073,DELIVERED,2025-10-21 05:01:34+00:00,2024-06-18 21:34:58+00:00
229,27476,DELIVERED,2024-08-24 00:55:47+00:00,2024-04-16 06:20:14+00:00
230,1130,CANCELLED,2024-05-24 20:33:34+00:00,2025-02-18 19:27:06+00:00
231,69032,CANCELLED,2025-07-14 14:02:00+00:00,2024-08-20 19:19:11+00:00
232,60365,ORDERED,2025-08-04 22:34:06+00:00,2025-11-25 22:07:41+00:00
233,43751,DELIVERED,2025-06-24 13:20:48+00:00,2024-08-14 16:30:41+00:00
234,22890,ORDERED,2025-06-17 03:05:09+00:00,2025-03-17 23:54:13+00:00
235,36346,CANCELLED,2025-07-03 01:25:10+00:00,2025-12-04 01:38:21+00:00
236,27606,CANCELLED,2024-06-16 06:36:55+00:00,2024-04-17 18:29:08+00:00
237,38175,DELIVERED,2024-06-08 10:11:55+00:00,2024-06-17 13:22:38+00:00
238,17922,CANCELLED,2025-08-05 09:13:53+00:00,2025-12-15 13:09:21+00:00
239,55750,ORDERED,2024-10-02 07:10:30+00:00,2024-07-17 10:38:27+00:00
240,3931,DELIVERED,2024-12-02 11:19:35+00:00,2025-05-30 20:14:33+00:00
241,54039,CANCELLED,2024-11-20 13:48:38+00:00,2025-07-03 09:58:57+00:00
242,67929,CANCELLED,2024-05-22 13:55:24+00:00,2024-04-04 06:07:25+00:00
243,40768,CANCELLED,2025-04-23 11:01:15+00:00,2024-12-10 22:30:57+00:00
244,48041,ORDERED,2024-02-23 01:47:40+00:00,2024-07-16 11:44:16+00:00
245,57081,DELIVERED,2025-04-22 18:48:29+00:00,2024-01-13 17:15:10+00:00
246,58387,ORDERED,2025-05-08 09:24:47+00:00,2024-06-25 14:30:50+00:00
247,34083,CANCELLED,2025-08-12 15:14:40+00:00,2024-09-14 07:02:59+00:00
248,26814,DELIVERED,2024-07-12 10:42:28+00:00,2025-12-04 05:07:35+00:00
249,67917,DELIVERED,2024-08-14 15:58:04+00:00,2024-08-24 12:07:48+00:00
250,57634,CANCELLED,2025-11-24 17:11:05+00:00,2025-04-26 13:37:56+00:00
251,10661,DELIVERED,2024-09-11 21:10:08+00:00,2024-02-25 06:44:01+00:00
252,16599,ORDERED,2024-03-10 15:29:49+00:00,2025-05-15 19:19:30+00:00
253,8454,ORDERED,2025-06-25 15:11:14+00:00,2025-03-11 23:58:21+00:00
254,46340,DELIVERED,2025-04-17 13:57:55+00:00,2024-05-21 02:07:09+00:00
255,33716,DELIVERED,2024-11-27 15:23:09+00:00,2025-09-14 20:09:17+00:00
256,11372,ORDERED,2024-11-13 05:43:21+00:00,2024-03-23 21:25:40+00:00
257,9165,ORDERED,2025-10-02 19:03:22+00:00,2024-07-01 14:54:52+00:00
258,57757,DELIVERED,2025-04-26 09:27:34+00:00,2024-04-23 20:43:57+00:00
259,52445,CANCELLED,2025-09-15 00:44:38+00:00,2024-05-31 18:58:55+00:00
260,50832,DELIVERED,2024-04-02 01:07:38+00:00,2024-04-10 08:45:03+00:00
261,14084,CANCELLED,2024-07-12 05:02:16+00:00,2025-12-20 01:43:51+00:00
262,9874,DELIVERED,2024-12-25 05:42:45+00:00,2025-11-26 19:40:10+00:00
263,57297,DELIVERED,2025-05-12 07:56:32+00:00,2024-04-14 08:50:53+00:00
264,39974,DELIVERED,2025-12-14 16:42:58+00:00,2025-01-10 07:18:38+00:00
265,5147,ORDERED,2024-05-02 02:23:49+00:00,2025-11-29 22:13:17+00:00
266,44882,DELIVERED,2025-10-15 15:15:49+00:00,2025-11-15 16:09:15+00:00
267,52187,CANCELLED,2025-04-12 11:02:54+00:00,2024-04-08 18:12:36+00:00
268,6459,CANCELLED,2024-10-21 09:02:08+00:00,2025-10-22 13:25:20+00:00
269,24827,CANCELLED,2025-09-28 12:13:58+00:00,2025-12-14 02:29:46+00:00
270,20720,DELIVERED,2024-08-16 20:17:31+00:00,2026-01-07 03:22:34+00:00
271,53903,ORDERED,2026-01-01 10:48:09+00:00,2025-08-12 01:57:08+00:00
272,29170,CANCELLED,2024-03-22 12:48:29+00:00,2024-04-12 07:38:48+00:00
273,16764,DELIVERED,2025-02-26 16:39:11+00:00,2025-08-14 02:36:32+00:00
274,28545,DELIVERED,2025-12-27 07:02:38+00:00,2024-09-01 13:33:35+00:00
275,31642,DELIVERED,2025-01-12 21:45:57+00:00,2025-05-08 07:37:45+00:00
276,29506,DELIVERED,2024-01-11 03:32:48+00:00,2024-03-01 22:03:41+00:00
277,32554,CANCELLED,2024-03-29 11:04:32+00:00,2025-04-16 15:03:55+00:00
278,63614,CANCELLED,2024-08-08 04:04:26+00:00,2025-12-19 12:59:36+00:00
279,46227,ORDERED,2025-07-17 05:37:31+00:00,2024-09-27 00:53:42+00:00
280,40631,DELIVERED,2025-09-24 07:18:48+00:00,2024-03-27 12:41:28+00:00
281,13384,DELIVERED,2024-04-20 10:20:03+00:00,2024-09-13 12:39:37+00:00
282,43909,ORDERED,2025-01-28 03:26:42+00:00,2024-02-21 21:45:45+00:00
283,43028,CANCELLED,2024-06-03 16:43:51+00:00,2024-12-29 06:03:29+00:00
284,28249,DELIVERED,2025-11-05 18:37:02+00:00,2025-06-07 02:43:11+00:00
285,59716,DELIVERED,2025-08-03 20:21:51+00:00,2025-07-24 09:12:12+00:00
286,10808,ORDERED,2025-08-16 03:10:20+00:00,2024-04-16 22:11:44+00:00
287,21423,CANCELLED,2025-09-19 23:47:24+00:00,2025-03-14 02:42:40+00:00
288,47307,DELIVERED,2025-09-18 12:07:30+00:00,2024-10-20 23:59:22+00:00
289,60921,ORDERED,2025-08-16 19:37:37+00:00,2024-08-12 04:14:13+00:00
290,13831,DELIVERED,2024-11-05 22:48:06+00:00,2024-03-03 03:03:55+00:00
291,55486,CANCELLED,2024-02-22 01:50:26+00:00,2025-10-12 23:29:16+00:00
292,11844,ORDERED,2024-01-23 18:11:41+00:00,2024-03-15 12:14:29+00:00
293,42652,ORDERED,2025-05-07 15:38:55+00:00,2025-10-08 19:32:39+00:00
294,32402,ORDERED,2025-05-04 23:58:49+00:00,2025-09-08 04:57:55+00:00
295,37894,ORDERED,2024-11-30 05:31:18+00:00,2024-12-25 09:23:08+00:00
296,64073,DELIVERED,2025-02-14 13:47:11+00:00,2025-04-12 10:58:31+00:00
297,31240,DELIVERED,2024-02-01 04:10:39+00:00,2024-06-13 21:26:57+00:00
298,29162,ORDERED,2025-08-08 17:32:16+00:00,2025-01-02 16:34:21+00:00
299,49296,DELIVERED,2024-06-10 15:30:27+00:00,2025-06-11 05:42:16+00:00
300,45634,CANCELLED,2024-02-03 21:44:54+00:00,2025-06-15 02:39:48+00:00
301,35605,CANCELLED,2024-02-04 16:41:42+00:00,2024-08-15 05:27:29+00:00
302,69121,ORDERED,2025-12-27 08:18:38+00:00,2025-12-26 03:57:40+00:00
303,18094,CANCELLED,2025-01-24 09:43:50+00:00,2024-07-20 15:18:24+00:00
304,28818,CANCELLED,2024-03-20 16:08:20+00:00,2024-09-01 11:24:36+00:00
305,25345,ORDERED,2024-03-27 00:52:09+00:00,2025-03-25 07:14:06+00:00
