room_night_id,room_id,night_date,availability,created_at
50,429,2027-01-02,AVAILABLE,2025-07-16 18:16:34+00:00
51,602,2025-06-04,BLOCKED,2025-03-06 16:30:54+00:00
52,602,2025-11-21,BLOCKED,2024-07-15 05:42:12+00:00
53,466,2025-02-15,AVAILABLE,2024-09-07 04:25:55+00:00
54,466,2027-01-01,BLOCKED,2024-06-28 16:10:45+00:00
55,125,2024-07-25,OCCUPIED,2024-03-29 04:29:45+00:00
56,125,2025-07-08,BLOCKED,2024-11-06 01:38:45+00:00
57,718,2026-12-06,BLOCKED,2025-10-04 17:46:04+00:00
58,718,2025-03-29,AVAILABLE,2024-12-30 22:01:38+00:00
59,286,2024-06-18,OCCUPIED,2025-02-16 18:07:42+00:00
60,286,2024-11-20,OCCUPIED,2024-01-28 09:20:56+00:00
61,211,2025-01-02,AVAILABLE,2024-06-28 00:06:19+00:00
62,211,2025-01-14,AVAILABLE,2024-08-30 05:14:03+00:00
63,202,2025-10-29,AVAILABLE,2024-04-05 22:27:27+00:00
64,202,2026-01-02,AVAILABLE,2025-11-05 03:50:16+00:00
65,611,2026-06-25,BLOCKED,2025-07-18 23:03:36+00:00
66,611,2025-01-12,BLOCKED,2024-10-07 21:27:15+00:00
67,249,2024-10-27,AVAILABLE,2025-11-04 12:05:12+00:00
68,249,2026-12-01,OCCUPIED,2025-03-09 19:49:41+00:00
69,758,2025-09-15,BLOCKED,2025-03-03 13:34:24+00:00
70,758,2026-05-06,BLOCKED,2024-08-18 09:20:18+00:00
71,333,2026-11-30,AVAILABLE,2025-07-24 09:08:06+00:00
72,333,2026-12-07,OCCUPIED,2025-10-09 09:06:26+00:00
73,175,2025-10-04,AVAILABLE,2025-06-26 08:56:56+00:00
74,175,2024-04-29,AVAILABLE,2024-10-28 13:51:48+00:00
75,687,2026-03-29,OCCUPIED,2025-06-18 19:58:42+00:00
76,687,2026-04-29,OCCUPIED,2025-03-06 18:43:10+00:00
77,736,2025-04-21,BLOCKED,2025-08-11 15:27:57+00:00
78,736,2026-08-23,BLOCKED,2024-07-17 05:36:00+00:00
79,772,2024-09-01,OCCUPIED,2024-12-27 07:48:52+00:00
80,772,2024-01-13,AVAILABLE,2025-06-16 16:38:21+00:00
81,564,2024-05-10,OCCUPIED,2024-12-03 18:54:18+00:00
82,564,2024-10-07,AVAILABLE,2025-03-23 10:06:20+00:00
83,292,2024-06-09,BLOCKED,2024-03-19 18:39:38+00:00
84,292,2025-12-28,AVAILABLE,2024-12-31 11:38:15+00:00
85,861,2026-04-15,BLOCKED,2024-09-15 23:05:21+00:00
86,861,2024-06-01,OCCUPIED,2025-09-24 05:43:25+00:00
87,902,2025-12-06,AVAILABLE,2025-07-27 23:36:20+00:00
88,902,2025-05-03,BLOCKED,2025-11-16 21:12:03+00:00
89,45,2024-09-18,OCCUPIED,2024-12-26 21:38:18+00:00
90,45,2026-01-05,BLOCKED,2025-12-05 21:42:14+00:00
91,450,2024-03-26,OCCUPIED,2025-12-19 14:49:46+00:00
92,450,2025-03-06,AVAILABLE,2025-06-13 14:32:01+00:00
93,587,2025-01-14,OCCUPIED,2024-08-02 00:17:14+00:00
94,587,2026-12-05,OCCUPIED,2025-09-10 09:13:00+00:00
95,423,2025-07-07,AVAILABLE,2025-06-09 10:54:03+00:00
96,423,2024-05-12,AVAILABLE,2025-01-21 19:41:13+00:00
97,699,2025-11-15,BLOCKED,2025-02-25 23:29:35+00:00
98,699,2026-07-14,BLOCKED,2024-04-01 08:09:23+00:00
99,552,2024-07-14,OCCUPIED,2025-09-09 01:32:25+00:00
100,552,2026-03-21,AVAILABLE,2025-10-06 10:15:09+00:00
101,678,2024-10-15,OCCUPIED,2025-07-10 20:32:17+00:00
102,678,2025-04-11,OCCUPIED,2026-01-07 08:03:55+00:00
103,840,2026-12-20,BLOCKED,2024-02-08 14:59:59+00:00
104,840,2025-02-02,AVAILABLE,2024-05-30 01:27:30+00:00
105,76,2025-03-06,AVAILABLE,2025-12-27 05:56:23+00:00
106,76,2026-11-14,AVAILABLE,2024-06-16 22:16:13+00:00
107,477,2026-09-08,OCCUPIED,2024-12-28 20:41:40+00:00
108,477,2026-03-19,AVAILABLE,2025-03-06 22:29:55+00:00
109,373,2024-09-14,OCCUPIED,2025-02-21 05:41:49+00:00
110,373,2026-04-14,AVAILABLE,2025-01-04 10:33:34+00:00
111,456,2026-04-03,BLOCKED,2026-01-06 03:31:21+00:00
112,456,2026-08-25,OCCUPIED,2024-08-08 04:57:42+00:00
113,253,2024-09-19,OCCUPIED,2024-05-08 20:04:47+00:00
114,253,2024-10-28,OCCUPIED,2024-10-27 10:10:04+00:00
115,823,2026-01-21,AVAILABLE,2024-04-12 16:05:16+00:00
116,823,2025-05-02,OCCUPIED,2024-03-22 17:11:10+00:00
117,370,2026-04-28,BLOCKED,2025-06-19 08:26:25+00:00
118,370,2025-09-26,AVAILABLE,2025-10-28 23:04:06+00:00
119,653,2025-08-22,BLOCKED,2025-06-19 21:25:03+00:00
120,653,2025-12-09,OCCUPIED,2024-08-16 06:40:29+00:00
121,299,2026-09-07,AVAILABLE,2024-05-01 00:21:05+00:00
122,299,2026-05-27,AVAILABLE,2024-01-18 04:45:00+00:00
123,164,2025-06-25,BLOCKED,2024-04-29 13:00:25+00:00
124,164,2026-11-03,BLOCKED,2024-10-31 02:51:33+00:00
125,61,2026-10-03,OCCUPIED,2025-10-20 13:50:22+00:00
126,61,2025-03-13,BLOCKED,2024-10-25 14:32:29+00:00
127,999,2024-09-11,OCCUPIED,2024-09-12 17:55:52+00:00
128,999,2024-03-15,BLOCKED,2024-07-01 20:52:35+00:00
129,666,2024-10-28,OCCUPIED,2025-08-16 12:23:51+00:00
130,666,2024-03-03,AVAILABLE,2024-01-26 08:37:00+00:00
131,813,2025-04-30,OCCUPIED,2024-08-22 07:32:12+00:00
132,813,2025-11-02,BLOCKED,2025-10-22 12:45:48+00:00
133,735,2025-11-25,BLOCKED,2024-05-31 17:19:30+00:00
134,735,2024-08-22,BLOCKED,2024-12-03 15:24:44+00:00
135,631,2026-11-06,AVAILABLE,2025-01-19 01:10:47+00:00
136,631,2027-01-07,AVAILABLE,2024-08-21 21:04:18+00:00
137,30,2026-05-11,OCCUPIED,2024-02-09 00:59:58+00:00
138,30,2026-12-04,BLOCKED,2024-09-27 20:31:36+00:00
139,261,2026-07-16,OCCUPIED,2025-12-24 23:21:01+00:00
140,261,2026-03-06,OCCUPIED,2025-03-31 23:18:40+00:00
141,863,2024-12-21,OCCUPIED,2024-11-21 11:18:05+00:00
142,863,2024-05-11,BLOCKED,2025-02-02 22:46:00+00:00
143,665,2024-05-26,BLOCKED,2025-06-25 17:26:26+00:00
144,665,2024-12-04,OCCUPIED,2025-12-05 02:08:11+00:00
145,592,2025-10-20,OCCUPIED,2024-04-23 06:44:08+00:00
146,592,2027-01-02,BLOCKED,2024-07-10 15:33:03+00:00
147,626,2025-09-01,OCCUPIED,2024-02-12 05:52:40+00:00
148,626,2026-09-13,OCCUPIED,2025-09-29 06:41:03+00:00
149,558,2025-09-21,BLOCKED,2024-03-12 05:14:00+00:00
150,558,2026-01-18,OCCUPIED,2024-07-16 12:28:43+00:00
151,83,2026-09-23,OCCUPIED,2024-11-26 04:45:45+00:00
152,83,2024-04-07,OCCUPIED,2024-11-06 17:24:05+00:00
153,457,2024-05-15,AVAILABLE,2024-06-12 04:11:16+00:00
154,457,2026-09-17,BLOCKED,2024-09-03 01:49:06+00:00
155,738,2025-11-19,BLOCKED,2024-03-09 16:14:38+00:00
156,738,2026-10-12,BLOCKED,2024-09-21 17:44:31+00:00
157,199,2024-10-10,AVAILABLE,2024-09-24 06:49:06+00:00
158,199,2026-08-26,OCCUPIED,2025-11-04 12:46:12+00:00
159,868,2025-02-12,AVAILABLE,2024-04-17 07:53:00+00:00
160,868,2026-12-16,BLOCKED,2024-06-04 07:40:23+00:00
161,753,2025-10-12,BLOCKED,2025-06-10 00:59:57+00:00
162,753,2024-03-20,AVAILABLE,2024-11-24 05:54:28+00:00
163,600,2025-08-02,AVAILABLE,2025-07-31 20:36:42+00:00
164,600,2024-05-15,BLOCKED,2025-05-11 16:34:28+00:00
165,800,2025-11-17,AVAILABLE,2025-07-26 16:29:47+00:00
166,800,2024-03-19,OCCUPIED,2024-09-02 18:42:33+00:00
167,894,2025-01-12,AVAILABLE,2025-12-15 14:08:50+00:00
168,894,2025-02-12,AVAILABLE,2024-08-25 13:51:42+00:00
169,390,2025-11-16,AVAILABLE,2024-08-06 13:26:15+00:00
170,390,2025-04-29,OCCUPIED,2024-06-11 13:28:42+00:00
171,793,2024-08-29,OCCUPIED,2024-02-06 07:37:30+00:00
172,793,2026-01-10,AVAILABLE,2025-07-05 21:05:19+00:00
173,727,2024-12-30,OCCUPIED,2024-09-10 17:41:43+00:00
174,727,2025-04-12,AVAILABLE,2025-09-06 04:46:56+00:00
175,856,2024-12-05,BLOCKED,2024-03-27 13:15:29+00:00
176,856,2027-01-02,OCCUPIED,2025-04-14 20:25:26+00:00
177,831,2026-06-06,OCCUPIED,2025-10-09 08:58:40+00:00
178,831,2026-08-15,BLOCKED,2024-08-26 05:33:02+00:00
179,111,2025-09-08,BLOCKED,2024-03-12 04:22:22+00:00
180,111,2024-10-08,AVAILABLE,2025-06-21 14:12:49+00:00
181,885,2025-06-08,BLOCKED,2025-06-21 05:03:55+00:00
182,885,2025-06-11,OCCUPIED,2025-07-03 05:35:22+00:00
183,900,2026-03-22,OCCUPIED,2025-05-01 17:40:06+00:00
184,900,2025-06-11,BLOCKED,2024-11-12 07:55:23+00:00
185,514,2025-04-03,OCCUPIED,2024-08-04 18:45:48+00:00
186,514,2025-07-03,AVAILABLE,2024-04-20 14:13:14+00:00
187,118,2026-06-07,AVAILABLE,2024-02-11 05:23:14+00:00
188,118,2025-02-25,AVAILABLE,2024-05-19 16:43:22+00:00
189,72,2026-06-11,BLOCKED,2025-08-03 16:50:15+00:00
190,72,2026-07-09,BLOCKED,2025-08-02 05:01:01+00:00
191,583,2025-09-09,OCCUPIED,2025-11-05 13:50:02+00:00
192,583,2025-08-31,BLOCKED,2024-07-26 11:47:11+00:00
193,250,2024-07-07,BLOCKED,2024-09-04 05:35:36+00:00
194,250,2025-07-27,OCCUPIED,2025-08-29 09:57:31+00:00
195,218,2025-12-22,BLOCKED,2025-07-13 23:38:25+00:00
196,218,2024-05-11,OCCUPIED,2025-10-01 09:29:08+00:00
197,729,2024-08-15,AVAILABLE,2025-08-21 20:54:46+00:00
198,729,2024-08-30,OCCUPIED,2024-07-14 08:26:39+00:00
199,376,2025-07-13,BLOCKED,2025-11-22 00:22:14+00:00
200,376,2026-11-26,BLOCKED,2024-08-25 21:15:01+00:00
201,862,2026-09-28,BLOCKED,2025-06-20 03:11:58+00:00
202,862,2025-03-05,BLOCKED,2024-02-22 17:35:24+00:00
203,184,2026-01-29,BLOCKED,2024-08-23 22:36:11+00:00
204,184,2026-11-09,BLOCKED,2024-10-26 15:44:34+00:00
205,603,2026-09-06,OCCUPIED,2025-06-10 17:54:22+00:00
206,603,2025-12-05,OCCUPIED,2024-04-23 05:06:50+00:00
207,746,2026-02-02,BLOCKED,2025-03-18 00:11:25+00:00
208,746,2026-05-06,OCCUPIED,2024-01-14 03:32:08+00:00
209,870,2024-07-22,AVAILABLE,2024-09-26 01:28:23+00:00
210,870,2025-10-30,BLOCKED,2024-11-11 16:51:10+00:00
211,156,2026-11-16,BLOCKED,2025-01-21 05:38:45+00:00
212,156,2024-05-28,OCCUPIED,2024-07-31 16:48:55+00:00
213,690,2025-10-29,BLOCKED,2025-11-05 15:01:45+00:00
214,690,2025-06-14,BLOCKED,2024-08-25 19:44:42+00:00
215,431,2026-01-16,AVAILABLE,2024-03-10 11:29:30+00:00
216,431,2026-08-13,OCCUPIED,2025-02-14 01:43:38+00:00
217,359,2026-05-18,AVAILABLE,2025-12-16 03:34:08+00:00
218,359,2026-12-22,OCCUPIED,2024-09-29 09:17:11+00:00
219,256,2024-06-16,AVAILABLE,2025-12-27 07:50:30+00:00
220,256,2026-05-20,AVAILABLE,2025-09-15 08:40:22+00:00
221,685,2024-08-31,BLOCKED,2024-03-25 18:41:06+00:00
222,685,2026-08-31,OCCUPIED,2024-08-04 13:47:58+00:00
223,317,2026-02-25,OCCUPIED,2024-01-30 04:30:39+00:00
224,317,2025-07-19,OCCUPIED,2024-05-15 15:40:35+00:00
225,460,2025-08-07,BLOCKED,2025-06-23 08:34:41+00:00
226,460,2026-04-16,BLOCKED,2024-05-20 10:04:48+00:00
227,78,2025-11-28,AVAILABLE,2025-11-15 21:44:50+00:00
228,78,2025-03-17,BLOCKED,2024-05-08 10:21:46+00:00
229,503,2025-06-16,AVAILABLE,2024-05-04 13:21:28+00:00
230,503,2024-05-22,BLOCKED,2025-11-06 05:37:47+00:00
231,82,2024-07-22,BLOCKED,2025-04-11 19:26:56+00:00
232,82,2025-02-11,BLOCKED,2024-05-20 09:53:47+00:00
233,121,2024-12-13,BLOCKED,2025-12-17 00:38:39+00:00
234,121,2024-05-20,OCCUPIED,2025-10-20 02:09:19+00:00
235,496,2026-01-27,AVAILABLE,2025-05-03 00:53:01+00:00
236,496,2024-08-14,BLOCKED,2025-03-21 10:46:26+00:00
237,511,2025-03-10,OCCUPIED,2024-04-05 21:35:58+00:00
238,511,2026-03-16,AVAILABLE,2025-08-11 09:33:04+00:00
239,866,2025-05-07,OCCUPIED,2024-10-08 14:15:14+00:00
240,866,2025-01-26,OCCUPIED,2025-05-05 07:49:32+00:00
241,697,2024-10-24,OCCUPIED,2024-01-29 11:06:38+00:00
242,697,2025-01-05,AVAILABLE,2024-01-23 02:25:28+00:00
243,155,2026-07-27,OCCUPIED,2025-09-30 18:38:52+00:00
244,155,2024-11-30,OCCUPIED,2025-07-26 06:20:54+00:00
245,472,2024-10-20,OCCUPIED,2024-11-05 21:07:00+00:00
246,472,2024-02-21,AVAILABLE,2025-06-08 20:28:54+00:00
247,788,2024-09-13,BLOCKED,2024-09-05 16:27:36+00:00
248,788,2026-05-26,AVAILABLE,2025-09-28 16:47:21+00:00
249,468,2025-08-02,AVAILABLE,2025-11-07 19:50:44+00:00
250,468,2025-06-24,BLOCKED,2024-11-07 21:58:31+00:00
251,26,2026-05-22,AVAILABLE,2024-02-22 17:46:32+00:00
252,26,2025-03-09,BLOCKED,2025-12-03 11:38:09+00:00
253,95,2026-06-26,BLOCKED,2024-05-12 04:46:57+00:00
254,95,2024-02-16,BLOCKED,2025-02-10 20:56:34+00:00
255,709,2025-11-23,OCCUPIED,2025-06-10 17:01:38+00:00
256,709,2024-12-01,BLOCKED,2025-03-06 10:20:40+00:00
257,495,2025-10-08,AVAILABLE,2025-07-25 22:28:15+00:00
258,495,2024-11-18,AVAILABLE,2025-10-28 11:18:33+00:00
259,881,2025-07-13,AVAILABLE,2025-11-29 04:54:53+00:00
260,881,2026-02-25,BLOCKED,2025-09-02 18:22:31+00:00
261,705,2026-08-27,AVAILABLE,2024-05-17 02:32:31+00:00
262,705,2024-06-13,AVAILABLE,2025-12-28 06:38:16+00:00
263,427,2025-05-27,AVAILABLE,2025-08-14 06:23:19+00:00
264,427,2024-09-08,BLOCKED,2024-11-23 01:59:11+00:00
265,855,2024-06-03,OCCUPIED,2025-10-28 10:22:29+00:00
266,855,2026-02-11,OCCUPIED,2025-10-22 01:26:47+00:00
267,572,2025-10-07,AVAILABLE,2024-07-09 07:25:15+00:00
268,572,2025-10-06,BLOCKED,2024-12-15 08:35:31+00:00
269,482,2026-07-31,AVAILABLE,2024-10-29 20:27:15+00:00
270,482,2024-01-19,BLOCKED,2024-07-04 11:58:29+00:00
271,541,2026-12-30,BLOCKED,2025-04-12 13:27:11+00:00
272,541,2025-06-16,AVAILABLE,2025-10-24 04:55:59+00:00
273,372,2025-11-04,BLOCKED,2024-05-24 12:32:37+00:00
274,372,2024-12-19,OCCUPIED,2024-09-19 15:53:42+00:00
275,301,2026-05-17,AVAILABLE,2025-11-08 22:52:25+00:00
276,301,2025-02-19,OCCUPIED,2025-10-22 04:27:34+00:00
277,988,2026-10-05,BLOCKED,2024-02-15 20:17:27+00:00
278,988,2025-12-04,AVAILABLE,2024-11-16 05:45:59+00:00
279,760,2025-10-11,AVAILABLE,2025-07-07 09:49:26+00:00
280,760,2026-11-23,BLOCKED,2024-11-10 21:18:53+00:00
281,624,2024-03-02,BLOCKED,2025-12-31 16:56:22+00:00
282,624,2024-01-30,AVAILABLE,2024-08-21 17:13:57+00:00
283,77,2025-06-06,OCCUPIED,2025-08-21 04:02:06+00:00
284,77,2025-11-06,BLOCKED,2026-01-10 02:02:49+00:00
285,961,2025-01-07,OCCUPIED,2024-12-05 03:43:28+00:00
286,961,2024-09-24,OCCUPIED,2024-12-21 21:48:24+00:00
287,15,2025-11-08,OCCUPIED,2024-10-20 09:22:09+00:00
288,15,2024-04-23,BLOCKED,2024-08-01 02:40:56+00:00
289,958,2025-08-31,BLOCKED,2024-07-03 19:11:16+00:00
290,958,2024-12-10,AVAILABLE,2024-03-23 22:37:46+00:00
291,970,2024-09-01,AVAILABLE,2025-08-02 18:54:04+00:00
292,970,2025-01-05,OCCUPIED,2024-06-10 02:15:49+00:00
293,366,2026-10-27,AVAILABLE,2024-05-20 22:08:01+00:00
294,366,2024-08-05,OCCUPIED,2024-08-07 17:01:20+00:00
295,412,2026-06-08,BLOCKED,2024-06-26 13:13:01+00:00
296,412,2024-09-15,OCCUPIED,2025-11-18 10:24:23+00:00
297,713,2025-07-06,BLOCKED,2024-11-30 23:28:20+00:00
298,713,2025-02-22,OCCUPIED,2026-01-04 11:29:13+00:00
299,770,2024-11-11,AVAILABLE,2024-02-24 06:41:18+00:00
300,770,2024-12-25,AVAILABLE,2025-10-31 07:36:06+00:00
301,795,2026-09-15,OCCUPIED,2024-10-21 09:02:33+00:00
302,795,2026-05-02,OCCUPIED,2025-10-15 18:52:30+00:00
303,43,2025-04-08,BLOCKED,2024-02-16 18:39:44+00:00
304,43,2025-09-12,OCCUPIED,2025-04-14 08:46:32+00:00
305,270,2025-11-23,OCCUPIED,2025-09-10 22:49:52+00:00
306,270,2026-04-21,BLOCKED,2024-12-19 11:13:53+00:00
307,907,2026-07-19,BLOCKED,2024-06-13 16:24:00+00:00
308,907,2025-08-11,AVAILABLE,2024-03-03 20:47:17+00:00
309,327,2026-10-20,AVAILABLE,2025-06-24 15:16:25+00:00
310,327,2025-08-29,BLOCKED,2025-12-11 08:40:05+00:00
311,321,2025-03-21,BLOCKED,2025-07-12 13:55:48+00:00
312,321,2024-03-06,OCCUPIED,2024-02-11 11:04:59+00:00
313,454,2026-04-07,OCCUPIED,2024-06-13 11:50:16+00:00
314,454,2025-04-20,AVAILABLE,2024-06-04 00:26:17+00:00
315,486,2025-09-22,AVAILABLE,2025-07-15 23:22:47+00:00
316,486,2026-06-05,OCCUPIED,2024-06-10 05:17:00+00:00
317,553,2025-01-02,BLOCKED,2024-01-29 10:30:58+00:00
318,553,2024-07-28,AVAILABLE,2024-11-16 03:27:07+00:00
319,293,2025-07-31,AVAILABLE,2025-02-14 01:31:21+00:00
320,293,2025-11-10,BLOCKED,2025-06-27 12:30:02+00:00
321,964,2026-12-15,AVAILABLE,2024-03-15 10:20:26+00:00
322,964,2024-03-19,AVAILABLE,2025-03-09 02:51:55+00:00
323,258,2024-12-30,OCCUPIED,2024-04-26 00:42:48+00:00
324,258,2026-12-03,BLOCKED,2024-06-15 09:52:56+00:00
325,154,2024-12-26,AVAILABLE,2024-12-05 16:24:49+00:00
326,154,2024-09-05,AVAILABLE,2024-09-02 07:26:41+00:00
327,632,2025-01-11,BLOCKED,2025-10-06 22:30:25+00:00
328,632,2026-04-24,AVAILABLE,2025-10-16 02:05:51+00:00
329,512,2025-10-02,BLOCKED,2024-08-06 14:18:40+00:00
330,512,2025-05-05,OCCUPIED,2025-05-07 01:19:31+00:00
331,476,2026-01-26,AVAILABLE,2024-04-20 20:19:22+00:00
332,476,2024-01-18,OCCUPIED,2024-08-26 20:28:28+00:00
333,449,2024-03-30,OCCUPIED,2025-08-01 09:02:36+00:00
334,449,2026-06-22,OCCUPIED,2025-06-04 07:57:14+00:00
335,3,2025-03-08,AVAILABLE,2024-04-26 01:42:51+00:00
336,3,2024-01-31,BLOCKED,2025-12-08 04:20:23+00:00
337,971,2025-10-30,BLOCKED,2024-04-10 00:05:27+00:00
338,971,2025-08-31,OCCUPIED,2025-07-01 18:35:51+00:00
339,896,2026-04-17,OCCUPIED,2025-02-10 08:14:55+00:00
340,896,2024-10-21,BLOCKED,2024-12-04 02:18:01+00:00
341,681,2026-08-26,BLOCKED,2025-03-15 09:07:26+00:00
342,681,2026-01-15,AVAILABLE,2025-07-15 21:35:22+00:00
343,388,2024-09-12,AVAILABLE,2025-11-14 21:08:29+00:00
344,388,2026-07-12,BLOCKED,2025-11-06 07:12:05+00:00
345,157,2024-02-19,BLOCKED,2024-10-14 20:52:30+00:00
346,157,2025-04-20,AVAILABLE,2025-07-16 15:05:40+00:00
347,978,2025-05-19,AVAILABLE,2024-12-20 22:14:57+00:00
348,978,2025-04-12,OCCUPIED,2024-12-18 21:22:13+00:00
349,25,2024-04-03,BLOCKED,2024-07-02 01:43:07+00:00
350,25,2026-03-14,OCCUPIED,2024-06-01 08:52:05+00:00
351,312,2024-06-12,OCCUPIED,2025-03-03 16:44:37+00:00
352,312,2026-09-16,BLOCKED,2025-06-30 17:28:43+00:00
353,782,2025-07-04,AVAILABLE,2024-06-03 05:05:14+00:00
354,782,2026-08-10,OCCUPIED,2025-02-25 04:46:54+00:00
355,418,2024-05-06,AVAILABLE,2025-11-08 12:14:06+00:00
356,418,2024-08-29,AVAILABLE,2024-03-29 07:06:05+00:00
357,563,2026-10-15,AVAILABLE,2025-08-20 12:03:32+00:00
358,563,2026-03-11,AVAILABLE,2025-01-05 01:12:38+00:00
359,382,2024-04-22,OCCUPIED,2024-07-20 04:09:30+00:00
360,382,2024-11-28,BLOCKED,2025-04-29 02:05:29+00:00
361,92,2026-07-02,OCCUPIED,2025-05-14 05:56:21+00:00
362,92,2025-06-14,AVAILABLE,2024-07-25 03:18:50+00:00
363,641,2025-02-11,BLOCKED,2024-05-30 19:26:55+00:00
364,641,2026-06-20,BLOCKED,2024-03-31 01:16:54+00:00
365,110,2024-06-13,BLOCKED,2025-10-11 04:06:37+00:00
366,110,2026-05-03,BLOCKED,2024-12-22 13:28:22+00:00
367,898,2024-03-12,BLOCKED,2025-02-11 01:14:33+00:00
368,898,2025-01-26,AVAILABLE,2025-11-04 20:21:43+00:00
369,358,2024-05-27,BLOCKED,2024-11-25 23:33:02+00:00
370,358,2026-11-24,OCCUPIED,2025-09-04 16:12:48+00:00
371,91,2025-01-30,AVAILABLE,2025-01-17 09:51:39+00:00
372,91,2026-04-03,BLOCKED,2025-06-24 14:03:02+00:00
373,475,2024-01-19,OCCUPIED,2025-05-21 14:49:49+00:00
374,475,2026-11-29,OCCUPIED,2024-09-10 23:23:08+00:00
375,739,2026-12-26,AVAILABLE,2025-04-25 13:02:48+00:00
376,739,2026-05-13,BLOCKED,2024-01-11 03:46:40+00:00
377,298,2025-11-11,OCCUPIED,2024-09-01 18:26:09+00:00
378,298,2024-09-07,BLOCKED,2025-02-11 20:09:17+00:00
379,654,2026-02-18,BLOCKED,2024-12-27 13:26:57+00:00
380,654,2024-03-04,BLOCKED,2024-03-16 06:08:44+00:00
381,984,2026-08-30,AVAILABLE,2025-11-18 08:39:51+00:00
382,984,2024-03-24,AVAILABLE,2024-07-23 19:34:17+00:00
383,179,2024-11-25,BLOCKED,2024-06-02 17:26:42+00:00
384,179,2026-03-02,BLOCKED,2024-03-03 14:58:50+00:00
385,435,2024-12-16,OCCUPIED,2024-12-19 08:51:37+00:00
386,435,2024-04-23,AVAILABLE,2025-04-20 18:14:42+00:00
387,980,2025-08-08,OCCUPIED,2025-10-02 14:38:11+00:00
388,980,2026-10-25,OCCUPIED,2025-06-17 18:54:36+00:00
389,411,2026-08-21,OCCUPIED,2024-06-17 23:47:31+00:00
390,411,2024-11-10,BLOCKED,2025-08-31 18:33:49+00:00
391,873,2026-08-11,BLOCKED,2024-07-20 14:18:13+00:00
